Date,GC1
2014-09-09,1247.3
2014-09-08,1253.2
2014-09-05,1266.3
2014-09-04,1265.6
2014-09-03,1269.4
2014-09-02,1264.3
2014-08-29,1286.5
2014-08-28,1289.5
2014-08-27,1281.9
2014-08-26,1283.8
2014-08-25,1277.3
2014-08-22,1278.6
2014-08-21,1273.7
2014-08-20,1293.4
2014-08-19,1295.1
2014-08-18,1297.7
2014-08-15,1304.5
2014-08-14,1313.9
2014-08-13,1312.8
2014-08-12,1308.8
2014-08-11,1308.5
2014-08-08,1308.9
2014-08-07,1310.8
2014-08-06,1306.7
2014-08-05,1284
2014-08-04,1287.7
2014-08-01,1293.6
2014-07-31,1281.3
2014-07-30,1294.9
2014-07-29,1298.3
2014-07-28,1303.3
2014-07-25,1303.3
2014-07-24,1290.8
2014-07-23,1304.7
2014-07-22,1306.3
2014-07-21,1313.9
2014-07-18,1309.4
2014-07-17,1316.9
2014-07-16,1299.8
2014-07-15,1297.1
2014-07-14,1306.7
2014-07-11,1337.4
2014-07-10,1339.2
2014-07-09,1324.3
2014-07-08,1316.5
2014-07-07,1317
2014-07-03,1320.6
2014-07-02,1330.9
2014-07-01,1326.6
2014-06-30,1322
2014-06-27,1320
2014-06-26,1316.1
2014-06-25,1322.2
2014-06-24,1320.9
2014-06-23,1318
2014-06-20,1316.2
2014-06-19,1313.7
2014-06-18,1272.4
2014-06-17,1271.7
2014-06-16,1274.9
2014-06-13,1273.7
2014-06-12,1273.6
2014-06-11,1260.8
2014-06-10,1259.8
2014-06-09,1253.5
2014-06-06,1252.1
2014-06-05,1253
2014-06-04,1244
2014-06-03,1244.3
2014-06-02,1243.7
2014-05-30,1245.6
2014-05-29,1256.3
2014-05-28,1259.3
2014-05-27,1265.5
2014-05-23,1291.7
2014-05-22,1295
2014-05-21,1288.1
2014-05-20,1294.6
2014-05-19,1293.8
2014-05-16,1293.4
2014-05-15,1293.6
2014-05-14,1305.9
2014-05-13,1294.8
2014-05-12,1295.8
2014-05-09,1287.6
2014-05-08,1287.7
2014-05-07,1288.9
2014-05-06,1308.6
2014-05-05,1309.3
2014-05-02,1302.9
2014-05-01,1283.4
2014-04-30,1295.9
2014-04-29,1296.3
2014-04-28,1298.9
2014-04-25,1300.7
2014-04-24,1290.5
2014-04-23,1284.2
2014-04-22,1280.6
2014-04-21,1288
2014-04-17,1293.4
2014-04-16,1303.1
2014-04-15,1300
2014-04-14,1327.2
2014-04-11,1318.7
2014-04-10,1320.1
2014-04-09,1305.5
2014-04-08,1308.7
2014-04-07,1298
2014-04-04,1303.2
2014-04-03,1284.4
2014-04-02,1290.5
2014-04-01,1279.6
2014-03-31,1283.4
2014-03-28,1293.8
2014-03-27,1294.7
2014-03-26,1303.4
2014-03-25,1311.4
2014-03-24,1311.2
2014-03-21,1336
2014-03-20,1330.5
2014-03-19,1341.3
2014-03-18,1359
2014-03-17,1372.9
2014-03-14,1379
2014-03-13,1372.4
2014-03-12,1370.5
2014-03-11,1346.7
2014-03-10,1341.5
2014-03-07,1338.2
2014-03-06,1351.8
2014-03-05,1340.3
2014-03-04,1337.9
2014-03-03,1350.3
2014-02-28,1321.6
2014-02-27,1331.8
2014-02-26,1328.2
2014-02-25,1343
2014-02-24,1338.3
2014-02-21,1323.9
2014-02-20,1317.1
2014-02-19,1320.6
2014-02-18,1324.7
2014-02-14,1319
2014-02-13,1300.4
2014-02-12,1295.3
2014-02-11,1290.1
2014-02-10,1274.8
2014-02-07,1263.3
2014-02-06,1257.6
2014-02-05,1257.3
2014-02-04,1251.7
2014-02-03,1260.4
2014-01-31,1240.1
2014-01-30,1242.2
2014-01-29,1262.2
2014-01-28,1250.8
2014-01-27,1263.4
2014-01-24,1264.3
2014-01-23,1262.3
2014-01-22,1238.6
2014-01-21,1241.8
2014-01-17,1251.9
2014-01-16,1240.2
2014-01-15,1238.3
2014-01-14,1245.4
2014-01-13,1251.1
2014-01-10,1246.9
2014-01-09,1229.4
2014-01-08,1225.5
2014-01-07,1229.6
2014-01-06,1238
2014-01-03,1238.6
2014-01-02,1225.2
2013-12-31,1202.3
2013-12-30,1203.8
2013-12-27,1216.1
2013-12-26,1214.1
2013-12-24,1205.1
2013-12-23,1198.4
2013-12-20,1205.1
2013-12-19,1195
2013-12-18,1236.1
2013-12-17,1231.2
