Date,US1
2014-08-26,140.53125
2014-08-25,140.71875
2014-08-22,140.4375
2014-08-21,140.0625
2014-08-20,139.6875
2014-08-19,139.78125
2014-08-18,140.15625
2014-08-15,141.03125
2014-08-14,140.0625
2014-08-13,139.46875
2014-08-12,138.96875
2014-08-11,139.40625
2014-08-08,139.40625
2014-08-07,139.25
2014-08-06,138.5
2014-08-05,138.375
2014-08-04,138.09375
2014-08-01,137.9375
2014-07-31,137.40625
2014-07-30,137.5
2014-07-29,138.9375
2014-07-28,138.28125
2014-07-25,138.65625
2014-07-24,137.875
2014-07-23,138.5625
2014-07-22,138.5625
2014-07-21,138.4375
2014-07-18,138.0625
2014-07-17,138.125
2014-07-16,137.15625
2014-07-15,136.9375
2014-07-14,136.90625
2014-07-11,137.375
2014-07-10,137.09375
2014-07-09,136.96875
2014-07-08,136.59375
2014-07-07,135.6875
2014-07-03,135
2014-07-02,135.25
2014-07-01,136.34375
2014-06-30,137.1875
2014-06-27,136.90625
2014-06-26,137.15625
2014-06-25,136.5
2014-06-24,136.03125
2014-06-23,135.375
2014-06-20,135.34375
2014-06-19,135.25
2014-06-18,136.46875
2014-06-17,135.90625
2014-06-16,136.78125
2014-06-13,136.59375
2014-06-12,136.65625
2014-06-11,135.78125
2014-06-10,135.84375
2014-06-09,136.125
2014-06-06,136.28125
2014-06-05,136.28125
2014-06-04,136.03125
2014-06-03,136.21875
2014-06-02,137.1875
2014-05-30,138.25
2014-05-29,138.4375
2014-05-28,138.65625
2014-05-27,137.375
2014-05-23,136.9375
2014-05-22,136.5
2014-05-21,136.6875
2014-05-20,137.25
2014-05-19,136.96875
2014-05-16,137.4375
2014-05-15,137.59375
2014-05-14,137.03125
2014-05-13,135.875
2014-05-12,135.34375
2014-05-09,135.75
2014-05-08,136.1875
2014-05-07,136
2014-05-06,136.0625
2014-05-05,135.71875
2014-05-02,136.1875
2014-05-01,135.6875
2014-04-30,134.9375
2014-04-29,134.375
2014-04-28,134.71875
2014-04-25,134.9375
2014-04-24,134.53125
2014-04-23,134.46875
2014-04-22,133.9375
2014-04-21,133.71875
2014-04-17,133.90625
2014-04-16,134.875
2014-04-15,134.8125
2014-04-14,134.5
2014-04-11,134.78125
2014-04-10,134.4375
2014-04-09,133.4375
2014-04-08,133.65625
2014-04-07,133.4375
2014-04-04,132.96875
2014-04-03,132.21875
2014-04-02,131.96875
2014-04-01,132.625
2014-03-31,133.21875
2014-03-28,133.53125
2014-03-27,134.21875
2014-03-26,133.59375
2014-03-25,133.0625
2014-03-24,133.09375
2014-03-21,132.65625
2014-03-20,133.5625
2014-03-19,133.5
2014-03-18,134.5
2014-03-17,134.3125
2014-03-14,135
2014-03-13,134.84375
2014-03-12,133.6875
2014-03-11,133
2014-03-10,132.71875
2014-03-07,132.6875
2014-03-06,133.28125
2014-03-05,133.90625
2014-03-04,133.9375
2014-03-03,135.1875
2014-02-28,134.59375
2014-02-27,134.65625
2014-02-26,134.09375
2014-02-25,133.625
2014-02-24,132.84375
2014-02-21,133.09375
2014-02-20,132.71875
2014-02-19,132.96875
2014-02-18,133.3125
2014-02-14,132.90625
2014-02-13,133
2014-02-12,132.25
2014-02-11,132.84375
2014-02-10,133.28125
2014-02-07,133.3125
2014-02-06,133.03125
2014-02-05,133.40625
2014-02-04,134.15625
2014-02-03,134.90625
2014-01-31,133.59375
2014-01-30,133.28125
2014-01-29,133.5
2014-01-28,132.625
2014-01-27,132.34375
2014-01-24,132.84375
2014-01-23,132.3125
2014-01-22,131.0625
2014-01-21,131.40625
2014-01-17,131.3125
2014-01-16,131.09375
2014-01-15,130.53125
2014-01-14,130.65625
2014-01-13,131.09375
2014-01-10,130.71875
2014-01-09,129.34375
2014-01-08,128.78125
2014-01-07,129.3125
2014-01-06,129.03125
2014-01-03,128.53125
2014-01-02,128.625
2013-12-31,128.3125
2013-12-30,128.78125
2013-12-27,128.28125
2013-12-26,128.5
2013-12-24,128.6875
2013-12-20,130.09375
2013-12-19,130.59375
2013-12-18,130.71875
2013-12-17,131.3125
2013-12-16,130.84375
2013-12-13,131.125
2013-12-12,130.75
2013-12-11,130.96875
2013-12-10,131.71875
2013-12-09,130.78125
2013-12-06,130.375
2013-12-05,130.4375
2013-12-04,130.625
2013-12-03,131.65625
2013-12-02,131.25
2013-11-29,132.21875
2013-11-27,132.21875
2013-11-26,132.71875
2013-11-25,131.96875
2013-11-22,131.90625
2013-11-21,131.28125
2013-11-20,131.03125
2013-11-19,132.46875
2013-11-18,133
2013-11-15,132.53125
2013-11-14,132.53125
2013-11-13,131.9375
2013-11-12,131.5
2013-11-11,131.46875
2013-11-08,131.75
2013-11-07,133.6875
2013-11-06,133.09375
2013-11-05,132.96875
2013-11-04,133.96875
2013-11-01,133.75
2013-10-31,134.8125
2013-10-30,134.96875
2013-10-29,135.25
2013-10-28,135.21875
2013-10-25,135.34375
2013-10-24,135.0625
2013-10-23,135.46875
2013-10-22,135
2013-10-21,133.71875
2013-10-18,134.09375
2013-10-17,134.15625
2013-10-16,132.96875
2013-10-15,132.15625
2013-10-14,132.21875
2013-10-11,132.8125
2013-10-10,132.65625
2013-10-09,133.125
2013-10-08,133.40625
2013-10-07,133.34375
2013-10-04,132.96875
2013-10-03,133.4375
2013-10-02,133.28125
2013-10-01,133
2013-09-30,133.375
2013-09-27,133.4375
2013-09-26,133.125
2013-09-25,133.59375
2013-09-24,132.96875
2013-09-23,131.90625
2013-09-20,131.6875
2013-09-19,132.9375
2013-09-18,133.46875
2013-09-17,131.84375
2013-09-16,131.34375
2013-09-13,131.3125
2013-09-12,131.15625
2013-09-11,130.875
2013-09-10,130.28125
2013-09-09,131.03125
2013-09-06,130.46875
2013-09-05,130.125
2013-09-04,131.3125
2013-09-03,131.71875
2013-08-30,133.34375
2013-08-29,133.125
2013-08-28,132.46875
2013-08-27,133.1875
2013-08-26,131.96875
2013-08-23,131.8125
2013-08-22,130.59375
2013-08-21,130.8125
2013-08-20,131.34375
2013-08-19,130.375
2013-08-16,131.03125
2013-08-15,132.0625
2013-08-14,132.625
2013-08-13,132.625
2013-08-12,134.125
2013-08-09,134.4375
2013-08-08,134.28125
2013-08-07,133.90625
2013-08-06,133.15625
2013-08-05,133.1875
2013-08-02,133.71875
2013-08-01,132.03125
2013-07-31,134.0625
2013-07-30,133.90625
2013-07-29,134.15625
2013-07-26,134.71875
2013-07-25,134
2013-07-24,134.09375
2013-07-23,135.0625
2013-07-22,135.5
2013-07-19,135.5
2013-07-18,134.65625
2013-07-17,135.34375
2013-07-16,134.96875
2013-07-15,134.59375
2013-07-12,133.9375
2013-07-11,134.21875
2013-07-10,132.875
2013-07-09,133.46875
2013-07-08,133.5
2013-07-05,132.65625
2013-07-03,135.5625
2013-07-02,135.96875
2013-07-01,135.75
2013-06-28,135.84375
2013-06-27,135.59375
2013-06-26,134.96875
2013-06-25,134.15625
2013-06-24,134.8125
2013-06-21,135.03125
2013-06-20,136.125
2013-06-19,139.90625
2013-06-18,140.5625
2013-06-17,140.53125
2013-06-14,141.3125
2013-06-13,140.71875
2013-06-12,139.78125
2013-06-11,140.34375
2013-06-10,139.9375
2013-06-07,140.78125
2013-06-06,142.125
2013-06-05,141.625
2013-06-04,141.09375
2013-06-03,141.3125
2013-05-31,141.0625
2013-05-30,141.5
2013-05-29,141.625
2013-05-28,141.25
2013-05-24,143.375
2013-05-23,143
2013-05-22,142.84375
2013-05-21,144.09375
2013-05-20,143.75
2013-05-17,143.96875
2013-05-16,145.4375
2013-05-15,144.1875
2013-05-14,144.0625
2013-05-13,144.625
2013-05-10,145
2013-05-09,146.5
2013-05-08,146.71875
2013-05-07,146.25
2013-05-06,146.5
2013-05-03,147.0625
2013-05-02,149.1875
2013-05-01,149.125
2013-04-30,148.375
2013-04-29,148.59375
2013-04-26,148.875
2013-04-25,147.9375
2013-04-24,148.1875
2013-04-23,148.09375
2013-04-22,148.15625
2013-04-19,148.125
2013-04-18,148.4375
2013-04-17,147.96875
2013-04-16,147.625
2013-04-15,147.9375
2013-04-12,147.53125
2013-04-11,146.21875
2013-04-10,145.9375
2013-04-09,147
2013-04-08,147.3125
2013-04-05,148
2013-04-04,146.34375
2013-04-03,145.28125
2013-04-02,144.4375
2013-04-01,144.875
2013-03-28,144.46875
2013-03-27,144.5625
2013-03-26,143.6875
2013-03-25,143.5
2013-03-22,143.625
2013-03-21,143.3125
2013-03-20,143.125
2013-03-19,145.21875
2013-03-18,144.21875
2013-03-15,143.375
2013-03-14,142.8125
2013-03-13,143.0625
2013-03-12,143.0625
2013-03-11,142.4375
2013-03-08,142.5
2013-03-07,143.46875
2013-03-06,144.34375
2013-03-05,145.15625
2013-03-04,145.4375
2013-03-01,145.84375
2013-02-28,145.28125
2013-02-27,145.15625
2013-02-26,145.625
2013-02-25,145.25
2013-02-22,144
2013-02-21,143.84375
2013-02-20,143.09375
2013-02-19,143.0625
2013-02-15,143.46875
2013-02-14,143.46875
2013-02-13,142.625
2013-02-12,143.25
2013-02-11,143.875
2013-02-08,143.6875
2013-02-07,143.78125
2013-02-06,143.53125
2013-02-05,142.75
2013-02-04,143.46875
2013-02-01,142.84375
2013-01-31,143.46875
2013-01-30,143.0625
2013-01-29,143.4375
2013-01-28,143.65625
2013-01-25,144.0625
2013-01-24,145.84375
2013-01-23,145.96875
2013-01-22,146.03125
2013-01-18,145.84375
2013-01-17,145.1875
2013-01-16,146.09375
2013-01-15,145.96875
2013-01-14,145.46875
2013-01-11,145.28125
2013-01-10,144.84375
2013-01-09,145.5
2013-01-08,145.1875
2013-01-07,144.6875
2013-01-04,144.5
2013-01-03,144.71875
2013-01-02,145.71875
2012-12-31,147.5
2012-12-28,148.375
2012-12-27,148.34375
2012-12-26,147.46875
2012-12-24,147.25
2012-12-21,147.53125
2012-12-20,146.5
2012-12-19,148.03125
2012-12-18,147.3125
2012-12-17,148.65625
2012-12-14,149.71875
2012-12-13,149.1875
2012-12-12,149.4375
2012-12-11,150.375
2012-12-10,151.0625
2012-12-07,150.875
2012-12-06,151.84375
2012-12-05,151.59375
2012-12-04,151.46875
2012-12-03,151.0625
2012-11-30,151.40625
2012-11-29,151.21875
2012-11-28,151.375
2012-11-27,150.875
2012-11-26,150.59375
2012-11-23,150.03125
2012-11-21,150.09375
2012-11-20,150.53125
2012-11-19,151.4375
2012-11-16,152.21875
2012-11-15,152.0625
2012-11-14,152.03125
2012-11-13,152.09375
2012-11-12,151.65625
2012-11-09,151.625
2012-11-08,151.1875
2012-11-07,150.3125
2012-11-06,148.28125
2012-11-05,149.25
2012-11-02,148.40625
2012-11-01,148.59375
2012-10-31,149.3125
2012-10-30,148.625
2012-10-29,148.71875
2012-10-26,148
2012-10-25,146.71875
2012-10-24,147.46875
2012-10-23,147.75
2012-10-22,147.125
2012-10-19,147.5625
2012-10-18,146.375
2012-10-17,146.65625
2012-10-16,148.1875
2012-10-15,149.4375
2012-10-12,149.5625
2012-10-11,149.25
2012-10-10,148.71875
2012-10-09,147.96875
2012-10-08,148.25
2012-10-05,147.5
2012-10-04,148.8125
2012-10-03,149.6875
2012-10-02,149.90625
2012-10-01,149.65625
2012-09-28,149.375
2012-09-27,149.5
2012-09-26,149.875
2012-09-25,148.375
2012-09-24,147.59375
2012-09-21,146.875
2012-09-20,146.71875
2012-09-19,145.96875
2012-09-18,145.625
2012-09-17,145.15625
2012-09-14,144.5625
2012-09-13,146.65625
2012-09-12,146.90625
2012-09-11,148.09375
2012-09-10,148.1875
2012-09-07,148.53125
2012-09-06,148.625
2012-09-05,149.96875
2012-09-04,150.21875
2012-08-31,150.5
2012-08-30,149.625
2012-08-29,148.96875
2012-08-28,149.21875
2012-08-27,148.875
