Date,EWA
1969-12-31,100.000
1970-01-30,96.743
1970-02-27,95.515
1970-03-31,95.075
1970-04-30,84.313
1970-05-29,78.733
1970-06-30,88.785
1970-07-31,91.499
1970-08-31,90.662
1970-09-30,90.656
1970-10-30,82.215
1970-11-30,78.062
1970-12-31,78.896
1971-01-29,76.975
1971-02-26,75.400
1971-03-31,79.422
1971-04-30,76.395
1971-05-31,74.116
1971-06-30,74.664
1971-07-30,71.551
1971-08-31,68.990
1971-09-30,62.037
1971-10-29,62.188
1971-11-30,61.120
1971-12-31,75.197
1972-01-31,72.708
1972-02-29,80.027
1972-03-31,82.555
1972-04-28,80.830
1972-05-31,84.216
1972-06-30,86.366
1972-07-31,81.370
1972-08-31,81.753
1972-09-29,79.041
1972-10-31,83.749
1972-11-30,86.284
1972-12-29,88.549
1973-01-31,91.343
1973-02-28,92.211
1973-03-30,91.909
1973-04-30,85.969
1973-05-31,92.969
1973-06-29,90.543
1973-07-31,92.085
1973-08-31,81.833
1973-09-28,79.106
1973-10-31,83.538
1973-11-30,76.222
1973-12-31,75.120
1974-01-31,84.766
1974-02-28,92.385
1974-03-29,86.469
1974-04-30,83.020
1974-05-31,70.697
1974-06-28,66.172
1974-07-31,55.601
1974-08-30,54.290
1974-09-30,38.145
1974-10-31,47.586
1974-11-29,49.337
1974-12-31,47.164
1975-01-31,57.801
1975-02-28,58.662
1975-03-31,57.348
1975-04-30,56.151
1975-05-30,61.671
1975-06-30,59.674
1975-07-31,58.264
1975-08-29,56.037
1975-09-30,59.644
1975-10-31,61.186
1975-11-28,65.167
1975-12-31,66.996
1976-01-30,67.953
1976-02-27,68.902
1976-03-31,67.116
1976-04-30,68.516
1976-05-31,69.045
1976-06-30,69.791
1976-07-30,76.732
1976-08-31,76.337
1976-09-30,70.004
1976-10-29,65.639
1976-11-30,51.706
1976-12-31,57.532
1977-01-31,58.386
1977-02-28,56.462
1977-03-31,59.634
1977-04-29,58.791
1977-05-31,61.271
1977-06-30,60.907
1977-07-29,57.403
1977-08-31,54.440
1977-09-30,54.231
1977-10-31,58.060
1977-11-30,56.304
1977-12-30,61.186
1978-01-31,58.048
1978-02-28,54.663
1978-03-31,57.570
1978-04-28,61.062
1978-05-31,63.844
1978-06-30,63.457
1978-07-31,67.493
1978-08-31,71.555
1978-09-29,74.361
1978-10-31,70.861
1978-11-30,66.983
1978-12-29,70.945
1979-01-31,73.617
1979-02-28,75.824
1979-03-30,76.543
1979-04-30,73.726
1979-05-31,75.790
1979-06-29,74.517
1979-07-31,76.631
1979-08-31,85.634
1979-09-28,91.327
1979-10-31,89.799
1979-11-30,87.133
1979-12-31,97.587
1980-01-31,117.522
1980-02-29,120.296
1980-03-31,98.148
1980-04-30,104.724
1980-05-30,119.130
1980-06-30,127.729
1980-07-31,127.333
1980-08-29,134.339
1980-09-30,141.979
1980-10-31,151.051
1980-11-28,146.620
1980-12-31,145.018
1981-01-30,129.510
1981-02-27,123.893
1981-03-31,136.528
1981-04-30,134.633
1981-05-29,133.228
1981-06-30,130.718
1981-07-31,115.856
1981-08-31,116.256
1981-09-30,105.116
1981-10-30,98.593
1981-11-30,107.779
1981-12-31,105.754
1982-01-29,93.764
1982-02-26,83.466
1982-03-31,76.786
1982-04-30,86.277
1982-05-31,84.765
1982-06-30,77.060
1982-07-30,74.066
1982-08-31,75.327
1982-09-30,76.775
1982-10-29,76.409
1982-11-30,75.072
1982-12-31,77.696
1983-01-31,85.484
1983-02-28,78.647
1983-03-31,73.533
1983-04-29,85.112
1983-05-31,90.624
1983-06-30,87.792
1983-07-29,98.537
1983-08-31,101.921
1983-09-30,106.174
1983-10-31,104.267
1983-11-30,113.833
1983-12-30,116.232
1984-01-31,115.558
1984-02-29,111.238
1984-03-30,115.272
1984-04-30,113.937
1984-05-31,95.300
1984-06-29,93.805
1984-07-31,93.652
1984-08-31,102.784
1984-09-28,101.215
1984-10-31,104.630
1984-11-30,105.076
1984-12-31,97.291
1985-01-31,103.004
1985-02-28,92.884
1985-03-29,95.033
1985-04-30,93.371
1985-05-31,95.279
1985-06-28,95.480
1985-07-31,112.293
1985-08-30,108.627
1985-09-30,115.718
1985-10-31,119.205
1985-11-29,111.797
1985-12-31,113.069
1986-01-31,127.250
1986-02-28,119.726
1986-03-31,132.358
1986-04-30,145.974
1986-05-30,146.160
1986-06-30,129.826
1986-07-31,108.935
1986-08-29,116.310
1986-09-30,126.270
1986-10-31,142.168
1986-11-28,143.894
1986-12-31,156.591
1987-01-30,158.153
1987-02-27,177.168
1987-03-31,195.793
1987-04-30,202.025
1987-05-29,208.350
1987-06-30,212.464
1987-07-31,236.078
1987-08-31,257.873
1987-09-30,266.950
1987-10-30,147.586
1987-11-30,161.761
1987-12-31,167.139
1988-01-29,156.465
1988-02-29,157.558
1988-03-31,184.397
1988-04-29,195.445
1988-05-31,224.117
1988-06-30,216.364
1988-07-29,229.207
1988-08-31,222.488
1988-09-30,214.898
1988-10-31,229.291
1988-11-30,223.772
1988-12-30,221.305
1989-01-31,240.991
1989-02-28,204.205
1989-03-31,207.253
1989-04-28,209.523
1989-05-31,203.420
1989-06-30,204.876
1989-07-31,222.273
1989-08-31,240.372
1989-09-29,239.415
1989-10-31,228.753
1989-11-30,222.644
1989-12-29,233.611
1990-01-31,231.135
1990-02-28,214.505
1990-03-30,208.424
1990-04-30,193.686
1990-05-31,210.726
1990-06-29,219.056
1990-07-31,228.805
1990-08-31,224.432
1990-09-28,210.871
1990-10-31,190.650
1990-11-30,190.234
1990-12-31,184.613
1991-01-31,194.558
1991-02-28,208.072
1991-03-29,210.506
1991-04-30,226.467
1991-05-31,219.121
1991-06-28,221.139
1991-07-31,234.228
1991-08-30,231.902
1991-09-30,239.953
1991-10-31,251.667
1991-11-29,238.387
1991-12-31,238.344
1992-01-31,231.240
1992-02-28,232.277
1992-03-31,233.299
1992-04-30,240.944
1992-05-29,244.258
1992-06-30,235.455
1992-07-31,229.531
1992-08-31,210.936
1992-09-30,201.466
1992-10-30,188.682
1992-11-30,189.597
1992-12-31,206.798
1993-01-29,199.752
1993-02-26,214.636
1993-03-31,222.613
1993-04-30,223.569
1993-05-31,219.171
1993-06-30,213.756
1993-07-30,234.303
1993-08-31,243.768
1993-09-30,237.190
1993-10-29,263.554
1993-11-30,246.581
1993-12-31,273.003
1994-01-31,301.697
1994-02-28,285.817
1994-03-31,264.344
1994-04-29,273.390
1994-05-31,285.882
1994-06-30,270.614
1994-07-29,283.800
1994-08-31,296.671
1994-09-30,280.143
1994-10-31,287.255
1994-11-30,275.735
1994-12-30,281.004
1995-01-31,263.419
1995-02-28,271.200
1995-03-31,267.815
1995-04-28,285.271
1995-05-31,278.153
1995-06-30,274.420
1995-07-31,299.335
1995-08-31,304.225
1995-09-29,301.636
1995-10-31,293.453
1995-11-30,298.832
1995-12-29,304.239
1996-01-31,312.691
1996-02-29,321.881
1996-03-29,319.707
1996-04-30,334.670
1996-05-31,331.320
1996-06-28,319.648
1996-07-31,303.940
1996-08-30,322.668
1996-09-30,322.247
1996-10-31,333.884
1996-11-29,346.776
1996-12-31,345.059
1997-01-31,330.339
1997-02-28,339.170
1997-03-31,337.243
1997-04-30,345.674
1997-05-30,351.283
1997-06-30,362.075
1997-07-31,358.583
1997-08-29,333.246
1997-09-30,348.555
1997-10-31,300.859
1997-11-28,293.864
1997-12-31,301.735
1998-01-30,321.065
1998-02-27,326.066
1998-03-31,326.469
1998-04-30,321.040
1998-05-29,301.996
1998-06-30,302.083
1998-07-31,299.637
1998-08-31,258.540
1998-09-30,275.114
1998-10-30,298.176
1998-11-30,316.168
1998-12-31,313.187
1999-01-29,331.495
1999-02-26,322.521
1999-03-31,335.491
1999-04-30,369.238
1999-05-31,338.285
1999-06-30,354.494
1999-07-30,353.616
1999-08-31,333.093
1999-09-30,333.795
1999-10-29,325.429
1999-11-30,342.066
1999-12-31,360.753
2000-01-31,347.159
2000-02-29,338.404
2000-03-31,334.881
2000-04-28,325.303
2000-05-31,313.198
2000-06-30,357.337
2000-07-31,335.013
2000-08-31,337.950
2000-09-29,322.520
2000-10-31,301.211
2000-11-30,307.353
2000-12-29,317.651
2001-01-31,330.481
2001-02-28,314.605
2001-03-30,280.107
2001-04-30,312.964
2001-05-31,314.578
2001-06-29,323.467
2001-07-31,306.778
2001-08-31,307.561
2001-09-28,267.849
2001-10-31,291.086
2001-11-30,312.359
2001-12-31,315.798
2002-01-31,316.646
2002-02-28,317.754
2002-03-29,327.240
2002-04-30,322.980
2002-05-30,344.117
2002-05-31,342.831
2002-06-3,345.449
2002-06-4,345.531
2002-06-5,343.358
2002-06-6,345.354
2002-06-7,344.509
2002-06-10,342.227
2002-06-11,339.818
2002-06-12,340.776
2002-06-13,339.375
2002-06-14,331.378
2002-06-17,330.589
2002-06-18,335.096
2002-06-19,333.895
2002-06-20,336.441
2002-06-21,335.415
2002-06-24,333.638
2002-06-25,330.944
2002-06-26,322.284
2002-06-27,325.620
2002-06-28,324.629
2002-07-1,325.603
2002-07-2,325.648
2002-07-3,319.946
2002-07-4,320.097
2002-07-5,322.126
2002-07-8,328.235
2002-07-9,332.986
2002-07-10,328.561
2002-07-11,319.650
2002-07-12,320.125
2002-07-15,320.299
2002-07-16,316.182
2002-07-17,308.493
2002-07-18,312.458
2002-07-19,309.933
2002-07-22,305.730
2002-07-23,302.218
2002-07-24,289.995
2002-07-25,293.222
2002-07-26,286.500
2002-07-29,290.771
2002-07-30,299.829
2002-07-31,300.301
2002-08-1,296.233
2002-08-2,293.285
2002-08-5,285.100
2002-08-6,280.555
2002-08-7,292.753
2002-08-8,293.384
2002-08-9,296.754
2002-08-12,299.127
2002-08-13,299.040
2002-08-14,297.678
2002-08-15,303.405
2002-08-16,305.121
2002-08-19,304.401
2002-08-20,309.502
2002-08-21,307.125
2002-08-22,309.368
2002-08-23,309.664
2002-08-26,308.462
2002-08-27,311.722
2002-08-28,308.743
2002-08-29,307.899
2002-08-30,306.489
2002-09-2,308.663
2002-09-3,307.260
2002-09-4,300.504
2002-09-5,300.900
2002-09-6,300.996
2002-09-9,305.435
2002-09-10,304.579
2002-09-11,308.362
2002-09-12,310.335
2002-09-13,308.771
2002-09-16,307.429
2002-09-17,309.836
2002-09-18,305.952
2002-09-19,304.397
2002-09-20,300.609
2002-09-23,296.344
2002-09-24,295.389
2002-09-25,291.087
2002-09-26,290.837
2002-09-27,292.534
2002-09-30,288.097
2002-10-1,289.544
2002-10-2,291.732
2002-10-3,293.092
2002-10-4,292.262
2002-10-7,288.757
2002-10-8,287.720
2002-10-9,285.138
2002-10-10,282.139
2002-10-11,286.160
2002-10-14,289.063
2002-10-15,293.043
2002-10-16,293.628
2002-10-17,294.475
2002-10-18,296.615
2002-10-21,296.059
2002-10-22,297.483
2002-10-23,300.252
2002-10-24,301.365
2002-10-25,298.713
2002-10-28,303.986
2002-10-29,300.496
2002-10-30,297.262
2002-10-31,303.079
2002-11-1,300.383
2002-11-4,306.884
2002-11-5,307.264
2002-11-6,310.155
2002-11-7,308.508
2002-11-8,305.515
2002-11-11,298.491
2002-11-12,300.458
2002-11-13,298.458
2002-11-14,299.054
2002-11-15,303.673
2002-11-18,303.643
2002-11-19,301.633
2002-11-20,302.412
2002-11-21,305.505
2002-11-22,308.318
2002-11-25,306.287
2002-11-26,304.825
2002-11-27,300.602
2002-11-28,307.998
2002-11-29,309.805
2002-12-2,311.732
2002-12-3,310.092
2002-12-4,305.656
2002-12-5,307.322
2002-12-6,305.947
2002-12-9,306.562
2002-12-10,301.219
2002-12-11,298.985
2002-12-12,303.510
2002-12-13,301.513
2002-12-16,299.071
2002-12-17,304.549
2002-12-18,303.368
2002-12-19,303.326
2002-12-20,303.577
2002-12-23,306.987
2002-12-24,307.058
2002-12-25,307.058
2002-12-26,307.058
2002-12-27,305.347
2002-12-30,302.658
2002-12-31,303.917
2003-01-1,303.917
2003-01-2,305.837
2003-01-3,310.167
2003-01-6,318.291
2003-01-7,317.924
2003-01-8,316.613
2003-01-9,317.373
2003-01-10,320.053
2003-01-13,320.671
2003-01-14,322.504
2003-01-15,322.884
2003-01-16,321.249
2003-01-17,322.856
2003-01-20,322.657
2003-01-21,320.484
2003-01-22,316.356
2003-01-23,318.770
2003-01-24,319.891
2003-01-27,318.729
2003-01-28,310.781
2003-01-29,310.992
2003-01-30,310.478
2003-01-31,309.373
2003-02-3,306.191
2003-02-4,310.336
2003-02-5,307.268
2003-02-6,303.407
2003-02-7,306.126
2003-02-10,304.927
2003-02-11,301.512
2003-02-12,303.785
2003-02-13,300.349
2003-02-14,296.195
2003-02-17,298.529
2003-02-18,298.963
2003-02-19,302.216
2003-02-20,299.454
2003-02-21,300.385
2003-02-24,307.905
2003-02-25,302.005
2003-02-26,305.935
2003-02-27,302.443
2003-02-28,304.121
2003-03-3,309.396
2003-03-4,309.007
2003-03-5,305.580
2003-03-6,305.105
2003-03-7,300.952
2003-03-10,301.098
2003-03-11,293.596
2003-03-12,288.310
2003-03-13,286.581
2003-03-14,293.576
2003-03-17,291.841
2003-03-18,301.453
2003-03-19,302.844
2003-03-20,305.160
2003-03-21,303.883
2003-03-24,304.724
2003-03-25,305.707
2003-03-26,310.512
2003-03-27,312.120
2003-03-28,312.302
2003-03-31,313.203
2003-04-1,312.269
2003-04-2,310.762
2003-04-3,313.328
2003-04-4,316.730
2003-04-7,320.241
2003-04-8,321.265
2003-04-9,319.197
2003-04-10,320.583
2003-04-11,319.592
2003-04-14,318.233
2003-04-15,322.797
2003-04-16,328.069
2003-04-17,326.723
2003-04-18,326.723
2003-04-21,325.953
2003-04-22,332.776
2003-04-23,334.290
2003-04-24,334.412
2003-04-25,333.007
2003-04-28,330.694
2003-04-29,335.481
2003-04-30,337.902
2003-05-1,340.232
2003-05-2,335.781
2003-05-5,337.650
2003-05-6,337.606
2003-05-7,337.588
2003-05-8,339.555
2003-05-9,338.919
2003-05-12,342.502
2003-05-13,342.810
2003-05-14,341.917
2003-05-15,339.396
2003-05-16,341.453
2003-05-19,343.750
2003-05-20,341.206
2003-05-21,342.650
2003-05-22,346.042
2003-05-23,349.625
2003-05-26,351.114
2003-05-27,349.082
2003-05-28,346.603
2003-05-29,347.147
2003-05-30,348.553
2003-06-2,355.087
2003-06-3,354.113
2003-06-4,358.617
2003-06-5,361.058
2003-06-6,358.610
2003-06-9,357.254
2003-06-10,357.465
2003-06-11,362.722
2003-06-12,364.988
2003-06-13,366.463
2003-06-16,367.056
2003-06-17,371.714
2003-06-18,370.163
2003-06-19,368.985
2003-06-20,367.090
2003-06-23,364.937
2003-06-24,362.004
2003-06-25,365.702
2003-06-26,358.753
2003-06-27,360.352
2003-06-30,360.313
2003-07-1,365.508
2003-07-2,365.844
2003-07-3,369.820
2003-07-4,366.000
2003-07-7,366.604
2003-07-8,357.651
2003-07-9,351.515
2003-07-10,354.224
2003-07-11,355.320
2003-07-14,360.116
2003-07-15,356.710
2003-07-16,360.760
2003-07-17,357.328
2003-07-18,352.651
2003-07-21,356.394
2003-07-22,354.213
2003-07-23,360.124
2003-07-24,364.861
2003-07-25,365.490
2003-07-28,368.414
2003-07-29,367.296
2003-07-30,358.671
2003-07-31,359.098
2003-08-1,364.120
2003-08-4,360.369
2003-08-5,358.954
2003-08-6,360.307
2003-08-7,362.515
2003-08-8,364.874
2003-08-11,366.850
2003-08-12,366.353
2003-08-13,368.188
2003-08-14,367.093
2003-08-15,368.282
2003-08-18,368.580
2003-08-19,368.492
2003-08-20,372.107
2003-08-21,368.704
2003-08-22,367.744
2003-08-25,367.463
2003-08-26,363.224
2003-08-27,361.223
2003-08-28,362.640
2003-08-29,366.596
2003-09-1,366.094
2003-09-2,365.896
2003-09-3,363.742
2003-09-4,365.315
2003-09-5,366.433
2003-09-8,370.161
2003-09-9,376.233
2003-09-10,374.522
2003-09-11,372.502
2003-09-12,374.509
2003-09-15,375.111
2003-09-16,374.338
2003-09-17,377.942
2003-09-18,380.089
2003-09-19,381.683
2003-09-22,384.286
2003-09-23,381.231
2003-09-24,384.210
2003-09-25,382.022
2003-09-26,378.348
2003-09-29,377.158
2003-09-30,379.084
2003-10-1,380.749
2003-10-2,386.466
2003-10-3,386.646
2003-10-6,388.249
2003-10-7,393.175
2003-10-8,396.427
2003-10-9,398.385
2003-10-10,398.895
2003-10-13,399.915
2003-10-14,400.726
2003-10-15,400.694
2003-10-16,403.936
