Date,EWG
1969-12-31,100.000
1970-01-30,94.971
1970-02-27,91.998
1970-03-31,92.632
1970-04-30,88.161
1970-05-29,79.689
1970-06-30,76.548
1970-07-31,81.008
1970-08-31,81.757
1970-09-30,80.219
1970-10-30,78.815
1970-11-30,75.754
1970-12-31,73.272
1971-01-29,83.577
1971-02-26,86.937
1971-03-31,87.535
1971-04-30,81.985
1971-05-31,85.654
1971-06-30,85.606
1971-07-30,89.821
1971-08-31,87.891
1971-09-30,86.692
1971-10-29,79.913
1971-11-30,81.808
1971-12-31,87.632
1972-01-31,93.795
1972-02-29,101.442
1972-03-31,106.619
1972-04-28,103.623
1972-05-31,106.274
1972-06-30,104.394
1972-07-31,110.140
1972-08-31,107.439
1972-09-29,103.369
1972-10-31,101.066
1972-11-30,102.335
1972-12-29,100.454
1973-01-31,106.615
1973-02-28,115.627
1973-03-30,121.826
1973-04-30,115.140
1973-05-31,108.097
1973-06-29,119.820
1973-07-31,115.335
1973-08-31,111.005
1973-09-28,111.160
1973-10-31,117.424
1973-11-30,97.156
1973-12-31,92.367
1974-01-31,96.636
1974-02-28,93.448
1974-03-29,98.319
1974-04-30,105.832
1974-05-31,99.049
1974-06-28,95.293
1974-07-31,93.088
1974-08-30,90.794
1974-09-30,86.480
1974-10-31,91.247
1974-11-29,99.652
1974-12-31,103.353
1975-01-31,116.387
1975-02-28,131.816
1975-03-31,129.863
1975-04-30,131.901
1975-05-30,123.801
1975-06-30,123.984
1975-07-31,122.973
1975-08-29,116.587
1975-09-30,111.169
1975-10-31,125.073
1975-11-28,127.845
1975-12-31,129.192
1976-01-30,131.849
1976-02-27,133.819
1976-03-31,138.811
1976-04-30,130.235
1976-05-31,126.002
1976-06-30,127.742
1976-07-30,126.350
1976-08-31,126.349
1976-09-30,132.082
1976-10-29,123.676
1976-11-30,130.046
1976-12-31,133.140
1977-01-31,130.478
1977-02-28,128.161
1977-03-31,132.163
1977-04-29,143.072
1977-05-31,139.782
1977-06-30,136.739
1977-07-29,141.013
1977-08-31,141.482
1977-09-30,143.815
1977-10-31,151.322
1977-11-30,153.923
1977-12-30,161.108
1978-01-31,162.684
1978-02-28,168.758
1978-03-31,168.904
1978-04-28,159.875
1978-05-31,160.577
1978-06-30,164.870
1978-07-31,173.430
1978-08-31,180.630
1978-09-29,190.402
1978-10-31,209.210
1978-11-30,184.819
1978-12-29,195.094
1979-01-31,191.598
