Date,EWH
1969-12-31,100.000
1970-01-30,105.158
1970-02-27,112.226
1970-03-31,116.391
1970-04-30,116.488
1970-05-29,112.890
1970-06-30,117.959
1970-07-31,126.103
1970-08-31,131.030
1970-09-30,128.427
1970-10-30,124.276
1970-11-30,129.532
1970-12-31,138.801
1971-01-29,145.166
1971-02-26,137.665
1971-03-31,138.105
1971-04-30,148.416
1971-05-31,160.237
1971-06-30,194.154
1971-07-30,191.666
1971-08-31,226.984
1971-09-30,239.793
1971-10-29,233.060
1971-11-30,177.152
1971-12-31,216.607
1972-01-31,214.066
1972-02-29,221.527
1972-03-31,231.995
1972-04-28,258.970
1972-05-31,281.521
1972-06-30,295.973
1972-07-31,321.875
1972-08-31,296.103
1972-09-29,322.753
1972-10-31,414.095
1972-11-30,435.579
1972-12-29,556.862
1973-01-31,650.866
1973-02-28,1221.477
1973-03-30,964.173
1973-04-30,556.938
1973-05-31,567.829
1973-06-29,481.029
1973-07-31,531.557
1973-08-31,455.396
1973-09-28,408.124
1973-10-31,470.378
1973-11-30,398.385
1973-12-31,332.727
1974-01-31,350.689
1974-02-28,297.606
1974-03-29,262.788
1974-04-30,235.670
1974-05-31,310.109
1974-06-28,308.736
1974-07-31,259.036
1974-08-30,199.822
1974-09-30,162.870
1974-10-31,173.032
1974-11-29,137.244
1974-12-31,136.013
1975-01-31,182.025
1975-02-28,207.433
1975-03-31,218.583
1975-04-30,246.484
1975-05-30,244.047
1975-06-30,244.218
1975-07-31,228.096
1975-08-29,222.894
1975-09-30,228.280
1975-10-31,233.366
1975-11-28,247.658
1975-12-31,274.107
1976-01-30,328.322
1976-02-27,350.475
1976-03-31,365.277
1976-04-30,340.592
1976-05-31,322.548
1976-06-30,331.241
1976-07-30,323.024
1976-08-31,331.446
1976-09-30,328.201
1976-10-29,312.379
1976-11-30,327.481
1976-12-31,373.015
1977-01-31,360.054
1977-02-28,351.846
1977-03-31,340.865
1977-04-29,358.494
1977-05-31,347.614
1977-06-30,349.921
1977-07-29,333.202
1977-08-31,340.407
1977-09-30,329.699
1977-10-31,326.229
1977-11-30,327.499
1977-12-30,317.641
1978-01-31,317.942
1978-02-28,321.462
1978-03-31,350.815
1978-04-28,350.996
1978-05-31,356.204
1978-06-30,431.999
1978-07-31,452.692
1978-08-31,528.727
1978-09-29,492.718
1978-10-31,515.577
1978-11-30,367.578
1978-12-29,360.918
1979-01-31,402.180
1979-02-28,384.287
1979-03-30,381.702
1979-04-30,378.744
1979-05-31,391.091
1979-06-29,371.993
1979-07-31,413.938
1979-08-31,406.170
1979-09-28,486.703
1979-10-31,480.609
1979-11-30,542.246
1979-12-31,634.398
1980-01-31,664.720
1980-02-29,660.241
1980-03-31,542.282
1980-04-30,623.138
1980-05-30,641.874
1980-06-30,755.174
1980-07-31,836.856
1980-08-29,888.857
1980-09-30,872.273
1980-10-31,1082.356
1980-11-28,1031.320
1980-12-31,1061.094
1981-01-30,1106.661
1981-02-27,1023.805
1981-03-31,937.392
1981-04-30,967.782
1981-05-29,1130.934
1981-06-30,1149.562
1981-07-31,1077.777
1981-08-31,1011.974
1981-09-30,732.182
1981-10-30,767.180
1981-11-30,900.664
1981-12-31,863.679
1982-01-29,851.447
1982-02-26,743.411
1982-03-31,689.986
1982-04-30,807.246
1982-05-31,879.258
1982-06-30,768.383
1982-07-30,712.570
1982-08-31,618.067
1982-09-30,531.956
1982-10-29,417.369
1982-11-30,393.281
1982-12-31,453.290
1983-01-31,503.013
1983-02-28,572.900
1983-03-31,544.814
1983-04-29,541.199
1983-05-31,469.972
1983-06-30,495.742
1983-07-29,540.518
1983-08-31,465.557
1983-09-30,339.728
1983-10-31,407.454
1983-11-30,401.336
1983-12-30,414.188
1984-01-31,525.439
1984-02-29,504.030
1984-03-30,483.183
1984-04-30,492.030
1984-05-31,440.786
1984-06-29,432.006
1984-07-31,383.950
1984-08-31,448.515
1984-09-28,483.714
1984-10-31,488.263
1984-11-30,540.782
1984-12-31,577.050
1985-01-31,660.454
1985-02-28,662.940
1985-03-29,661.277
1985-04-30,726.956
1985-05-31,765.410
1985-06-28,755.496
1985-07-31,807.261
1985-08-30,789.910
1985-09-30,728.141
1985-10-31,798.254
1985-11-29,822.850
1985-12-31,842.129
1986-01-31,821.009
1986-02-28,825.512
1986-03-31,796.609
1986-04-30,899.606
1986-05-30,875.832
1986-06-30,850.740
1986-07-31,915.005
1986-08-29,945.776
1986-09-30,1020.958
1986-10-31,1147.426
1986-11-28,1186.970
1986-12-31,1267.783
1987-01-30,1275.929
1987-02-27,1447.404
1987-03-31,1374.382
1987-04-30,1324.855
1987-05-29,1484.099
1987-06-30,1618.904
1987-07-31,1772.864
1987-08-31,1848.146
1987-09-30,1991.981
1987-10-30,1122.732
1987-11-30,1085.665
1987-12-31,1176.764
1988-01-29,1207.031
1988-02-29,1228.886
1988-03-31,1298.220
1988-04-29,1325.382
1988-05-31,1284.609
1988-06-30,1385.057
1988-07-29,1402.160
1988-08-31,1283.225
1988-09-30,1288.999
1988-10-31,1384.305
1988-11-30,1424.351
1988-12-30,1443.565
1989-01-31,1641.450
1989-02-28,1621.964
1989-03-31,1619.989
1989-04-28,1687.981
1989-05-31,1489.956
1989-06-30,1215.810
1989-07-31,1373.514
1989-08-31,1325.151
1989-09-29,1484.031
1989-10-31,1468.379
1989-11-30,1475.433
1989-12-29,1492.002
1990-01-31,1441.001
1990-02-28,1551.691
1990-03-30,1580.452
1990-04-30,1562.454
1990-05-31,1674.405
1990-06-29,1738.805
