Date,EMU
1987-12-31,43.223
1988-01-29,39.647
1988-02-29,44.370
1988-03-31,44.841
1988-04-29,45.398
1988-05-31,44.705
1988-06-30,45.054
1988-07-29,44.864
1988-08-31,43.537
1988-09-30,46.100
1988-10-31,50.681
1988-11-30,51.075
1988-12-30,51.950
1989-01-31,51.121
1989-02-28,50.454
1989-03-31,50.718
1989-04-28,52.622
1989-05-31,50.507
1989-06-30,52.796
1989-07-31,57.655
1989-08-31,57.396
1989-09-29,59.611
1989-10-31,56.620
1989-11-30,60.029
1989-12-29,67.382
1990-01-31,66.467
1990-02-28,64.612
1990-03-30,68.036
1990-04-30,67.492
1990-05-31,69.203
1990-06-29,70.563
1990-07-31,73.437
1990-08-31,63.853
1990-09-28,55.186
1990-10-31,60.483
1990-11-30,59.722
1990-12-31,58.209
1991-01-31,59.255
1991-02-28,64.815
1991-03-29,59.294
1991-04-30,58.931
1991-05-31,61.253
1991-06-28,55.733
1991-07-31,57.522
1991-08-30,58.429
1991-09-30,60.169
1991-10-31,58.898
1991-11-29,58.790
1991-12-31,62.963
1992-01-31,63.265
1992-02-28,64.554
1992-03-31,62.760
1992-04-30,63.745
1992-05-29,66.896
1992-06-30,66.329
1992-07-31,63.229
1992-08-31,63.107
1992-09-30,61.410
1992-10-30,57.878
1992-11-30,57.111
1992-12-31,57.149
1993-01-29,58.356
1993-02-26,60.955
1993-03-31,62.959
1993-04-30,63.433
1993-05-31,63.037
1993-06-30,61.805
1993-07-30,62.281
1993-08-31,68.824
1993-09-30,68.307
1993-10-29,70.664
1993-11-30,67.787
1993-12-31,72.611
1994-01-31,75.164
1994-02-28,73.537
1994-03-31,73.497
1994-04-29,77.485
1994-05-31,73.781
1994-06-30,71.991
1994-07-29,76.611
1994-08-31,77.940
1994-09-30,74.277
1994-10-31,76.920
1994-11-30,73.798
1994-12-30,74.029
1995-01-31,73.576
1995-02-28,75.531
1995-03-31,77.685
1995-04-28,80.834
1995-05-31,81.764
1995-06-30,82.315
1995-07-31,86.866
1995-08-31,82.230
1995-09-29,82.860
1995-10-31,81.534
1995-11-30,81.766
1995-12-29,84.808
1996-01-31,87.340
1996-02-29,88.301
1996-03-29,88.708
1996-04-30,89.634
1996-05-31,90.573
1996-06-28,91.607
1996-07-31,89.528
1996-08-30,90.127
1996-09-30,92.688
1996-10-31,93.508
1996-11-29,98.496
1996-12-31,100.000
1997-01-31,101.397
1997-02-28,101.775
1997-03-31,105.746
1997-04-30,103.757
1997-05-30,106.724
1997-06-30,113.600
1997-07-31,119.640
1997-08-29,110.322
1997-09-30,121.216
1997-10-31,113.552
1997-11-28,115.663
1997-12-31,119.748
1998-01-30,124.684
1998-02-27,134.658
1998-03-31,147.021
1998-04-30,151.842
1998-05-29,159.184
1998-06-30,161.195
1998-07-31,166.433
1998-08-31,142.306
1998-09-30,136.737
1998-10-30,147.320
1998-11-30,155.982
1998-12-31,164.661
1999-01-29,163.464
1999-02-26,155.447
1999-03-31,155.683
1999-04-30,159.765
1999-05-31,152.417
1999-06-30,156.403
1999-07-30,155.740
1999-08-31,158.936
1999-09-30,157.980
1999-10-29,164.368
1999-11-30,170.178
1999-12-31,193.226
2000-01-31,181.305
2000-02-29,197.654
2000-03-31,196.947
2000-04-28,187.145
2000-05-31,186.615
2000-06-30,191.768
2000-07-31,185.884
2000-08-31,181.188
2000-09-29,171.992
2000-10-31,169.677
2000-11-30,163.430
2000-12-29,174.482
2001-01-31,175.393
2001-02-28,158.049
2001-03-30,145.962
2001-04-30,157.398
2001-05-31,146.340
2001-06-29,140.260
2001-07-31,140.783
2001-08-31,135.371
2001-09-28,118.283
2001-10-31,123.485
2001-11-30,129.605
2001-12-31,133.249
2002-01-31,125.701
2002-02-28,125.025
2002-03-29,132.260
2002-04-30,129.741
2002-05-30,128.043
2002-05-31,128.502
2002-06-3,127.447
2002-06-4,124.364
2002-06-5,123.896
2002-06-6,125.089
2002-06-7,122.913
2002-06-10,122.910
2002-06-11,124.429
2002-06-12,121.919
2002-06-13,120.503
2002-06-14,117.652
2002-06-17,121.379
2002-06-18,121.830
2002-06-19,120.662
2002-06-20,119.161
2002-06-21,119.001
2002-06-24,116.431
2002-06-25,118.187
2002-06-26,118.464
2002-06-27,119.506
2002-06-28,124.406
2002-07-1,124.069
2002-07-2,119.437
2002-07-3,116.043
2002-07-4,118.474
2002-07-5,122.922
2002-07-8,124.296
2002-07-9,123.585
2002-07-10,118.450
2002-07-11,114.801
2002-07-12,114.818
2002-07-15,110.936
2002-07-16,111.412
2002-07-17,114.622
2002-07-18,115.838
2002-07-19,111.244
2002-07-22,105.058
2002-07-23,100.609
2002-07-24,99.472
2002-07-25,102.631
2002-07-26,102.034
2002-07-29,107.319
2002-07-30,107.529
2002-07-31,106.668
2002-08-1,102.793
2002-08-2,102.234
2002-08-5,98.646
2002-08-6,100.944
2002-08-7,100.793
2002-08-8,104.819
2002-08-9,106.973
2002-08-12,105.044
2002-08-13,105.928
2002-08-14,103.626
2002-08-15,105.684
2002-08-16,107.364
2002-08-19,110.253
