Date,PL1
2014-09-09,1387.3
2014-09-08,1399
2014-09-05,1412.5
2014-09-04,1409.8
2014-09-03,1414
2014-09-02,1410.4
2014-08-29,1426.7
2014-08-28,1427.2
2014-08-27,1421.9
2014-08-26,1421.6
2014-08-25,1420.4
2014-08-22,1420.5
2014-08-21,1419.3
2014-08-20,1427.7
2014-08-19,1437.5
2014-08-18,1443.2
2014-08-15,1458.2
2014-08-14,1470.2
2014-08-13,1470.9
2014-08-12,1473.2
2014-08-11,1472.6
2014-08-08,1481.3
2014-08-07,1483
2014-08-06,1466.7
2014-08-05,1457.4
2014-08-04,1468.1
2014-08-01,1463.8
2014-07-31,1465.7
2014-07-30,1483.4
2014-07-29,1483.2
2014-07-28,1489.4
2014-07-25,1477.6
2014-07-24,1472.7
2014-07-23,1485
2014-07-22,1487.6
2014-07-21,1492.7
2014-07-18,1489.2
2014-07-17,1503
2014-07-16,1485
2014-07-15,1484.3
2014-07-14,1492.3
2014-07-11,1512.3
2014-07-10,1516
2014-07-09,1505.9
2014-07-08,1495.4
2014-07-07,1494.9
2014-07-03,1506.1
2014-07-02,1509.7
2014-07-01,1513.5
2014-06-30,1481
2014-06-27,1478.5
2014-06-26,1472.1
2014-06-25,1475.2
2014-06-24,1473.9
2014-06-23,1458.6
2014-06-20,1459.3
2014-06-19,1476.5
2014-06-18,1452.8
2014-06-17,1445.1
2014-06-16,1441.1
2014-06-13,1437
2014-06-12,1443.3
2014-06-11,1483.1
2014-06-10,1484.2
2014-06-09,1456.3
2014-06-06,1455
2014-06-05,1447.1
2014-06-04,1435.9
2014-06-03,1435.5
2014-06-02,1438.7
2014-05-30,1454.7
2014-05-29,1462.1
2014-05-28,1465.1
2014-05-27,1464.7
2014-05-23,1475.2
2014-05-22,1495.5
2014-05-21,1482.3
2014-05-20,1468.1
2014-05-19,1469.4
2014-05-16,1465.3
2014-05-15,1469.1
2014-05-14,1484.9
2014-05-13,1454.7
2014-05-12,1440.9
2014-05-09,1428.9
2014-05-08,1437.1
2014-05-07,1433.8
2014-05-06,1457.1
2014-05-05,1447.4
2014-05-02,1439.7
2014-05-01,1426.2
2014-04-30,1426.6
2014-04-29,1430.1
2014-04-28,1418.2
2014-04-25,1422.8
2014-04-24,1408.1
2014-04-23,1403.2
2014-04-22,1399.6
2014-04-21,1400
2014-04-17,1428.1
2014-04-16,1437.2
2014-04-15,1444.1
2014-04-14,1466.8
2014-04-11,1461.6
2014-04-10,1458.4
2014-04-09,1437
2014-04-08,1439.8
2014-04-07,1426.3
2014-04-04,1449.4
2014-04-03,1443.8
2014-04-02,1437.1
2014-04-01,1428
2014-03-31,1418.5
2014-03-28,1404.7
2014-03-27,1396.7
2014-03-26,1406
2014-03-25,1420.4
2014-03-24,1430.7
2014-03-21,1435.5
