Date,TY1
2014-09-09,125.10938
2014-09-08,125.42188
2014-09-05,125.53125
2014-09-04,125.48438
2014-09-03,125.78125
2014-09-02,125.79688
2014-08-29,126.32812
2014-08-28,126.40625
2014-08-27,126.23438
2014-08-26,126.03125
2014-08-25,125.95312
2014-08-22,125.89062
2014-08-21,126.01562
2014-08-20,125.92188
2014-08-19,126.21875
2014-08-18,126.35938
2014-08-15,126.64062
2014-08-14,126.29688
2014-08-13,126.14062
2014-08-12,125.82812
2014-08-11,125.92188
2014-08-08,125.96875
2014-08-07,125.92188
2014-08-06,125.5
2014-08-05,125.39062
2014-08-04,125.375
2014-08-01,125.25
2014-07-31,124.60938
2014-07-30,124.65625
2014-07-29,125.375
2014-07-28,125.125
2014-07-25,125.3125
2014-07-24,125.04688
2014-07-23,125.42188
2014-07-22,125.40625
2014-07-21,125.26562
2014-07-18,125.28125
2014-07-17,125.35938
2014-07-16,124.89062
2014-07-15,124.90625
2014-07-14,124.96875
2014-07-11,125.21875
2014-07-10,125.17188
2014-07-09,124.98438
2014-07-08,124.75
2014-07-07,124.39062
2014-07-03,124.21875
2014-07-02,124.39062
2014-07-01,124.875
2014-06-30,125.17188
2014-06-27,125.09375
2014-06-26,125.07812
2014-06-25,124.79688
2014-06-24,124.5625
2014-06-23,124.26562
2014-06-20,124.26562
2014-06-19,125.23438
2014-06-18,125.09375
2014-06-17,124.75
2014-06-16,125.17188
2014-06-13,125.17188
2014-06-12,125.40625
2014-06-11,124.96875
2014-06-10,124.89062
2014-06-09,125.0625
2014-06-06,125.23438
2014-06-05,125.35938
2014-06-04,125.15625
2014-06-03,125.26562
2014-06-02,125.71875
2014-05-30,126.32812
2014-05-29,126.40625
2014-05-28,126.48438
2014-05-27,125.90625
2014-05-23,125.79688
2014-05-22,125.625
2014-05-21,125.8125
2014-05-20,126
2014-05-19,125.73438
2014-05-16,125.78125
2014-05-15,125.92188
2014-05-14,125.625
2014-05-13,125.0625
2014-05-12,124.73438
2014-05-09,125
2014-05-08,125.10938
2014-05-07,124.875
2014-05-06,124.64062
2014-05-05,124.57812
2014-05-02,124.65625
2014-05-01,124.65625
2014-04-30,124.42188
2014-04-29,124
2014-04-28,124.09375
2014-04-25,124.0625
2014-04-24,123.92188
2014-04-23,123.95312
2014-04-22,123.625
2014-04-21,123.73438
2014-04-17,123.75
2014-04-16,124.375
2014-04-15,124.59375
2014-04-14,124.59375
2014-04-11,124.79688
2014-04-10,124.70312
2014-04-09,124.20312
2014-04-08,124.04688
2014-04-07,123.85938
2014-04-04,123.67188
2014-04-03,122.96875
2014-04-02,122.92188
2014-04-01,123.35938
2014-03-31,123.5
2014-03-28,123.5625
2014-03-27,123.85938
2014-03-26,123.79688
2014-03-25,123.46875
2014-03-24,123.42188
2014-03-21,123.45312
2014-03-20,124.9375
2014-03-19,125.0625
2014-03-18,126.0625
2014-03-17,125.89062
2014-03-14,126.26562
2014-03-13,126.21875
2014-03-12,125.65625
2014-03-11,125.375
2014-03-10,125.25
2014-03-07,125.14062
2014-03-06,125.60938
2014-03-05,125.9375
2014-03-04,125.92188
2014-03-03,126.57812
2014-02-28,126.10938
2014-02-27,126.3125
2014-02-26,126.07812
2014-02-25,125.82812
2014-02-24,125.46875
2014-02-21,125.60938
2014-02-20,125.5
2014-02-19,125.73438
2014-02-18,125.95312
2014-02-14,125.64062
2014-02-13,125.75
2014-02-12,125.25
2014-02-11,125.57812
2014-02-10,125.9375
2014-02-07,125.96875
2014-02-06,125.60938
2014-02-05,125.875
2014-02-04,126.14062
2014-02-03,126.42188
2014-01-31,125.75
2014-01-30,125.45312
2014-01-29,125.625
2014-01-28,125.07812
2014-01-27,124.8125
2014-01-24,125.0625
2014-01-23,124.78125
2014-01-22,123.96875
2014-01-21,124.375
2014-01-17,124.42188
2014-01-16,124.26562
2014-01-15,123.96875
2014-01-14,124.17188
2014-01-13,124.57812
2014-01-10,124.29688
2014-01-09,123.32812
2014-01-08,123.10938
2014-01-07,123.6875
2014-01-03,123.17188
2014-01-02,123.21875
2013-12-31,123.04688
2013-12-30,123.21875
2013-12-27,122.98438
2013-12-26,122.98438
2013-12-24,123.04688
2013-12-23,123.4375
2013-12-20,123.73438
2013-12-19,124.92188
2013-12-18,125.54688
2013-12-17,125.82812
2013-12-16,125.53125
2013-12-13,125.5625
2013-12-12,125.5625
2013-12-11,125.8125
2013-12-10,126.17188
2013-12-09,125.6875
2013-12-06,125.57812
2013-12-05,125.73438
2013-12-04,125.9375
2013-12-03,126.39062
2013-12-02,126.15625
2013-11-29,126.64062
2013-11-27,126.75
2013-11-26,127.0625
2013-11-25,126.67188
2013-11-22,126.57812
2013-11-21,126.35938
2013-11-20,126.35938
2013-11-19,126.73438
2013-11-18,127.04688
2013-11-15,126.76562
2013-11-14,126.84375
2013-11-13,126.35938
2013-11-12,125.90625
2013-11-11,126.03125
2013-11-08,126.10938
2013-11-07,127.14062
2013-11-06,126.92188
2013-11-05,126.5625
2013-11-04,126.98438
2013-11-01,126.78125
2013-10-31,127.35938
2013-10-30,127.51562
2013-10-29,127.71875
2013-10-28,127.5625
2013-10-25,127.60938
2013-10-24,127.40625
2013-10-23,127.65625
2013-10-22,127.5
2013-10-21,126.75
2013-10-18,126.89062
2013-10-17,126.95312
2013-10-16,126.26562
2013-10-15,125.85938
2013-10-14,125.92188
2013-10-11,126.10938
2013-10-10,125.98438
2013-10-09,126.26562
2013-10-08,126.26562
2013-10-07,126.29688
2013-10-04,126.1875
2013-10-03,126.57812
2013-10-02,126.39062
2013-10-01,126.125
2013-09-30,126.39062
2013-09-27,126.34375
2013-09-26,126.09375
2013-09-25,126.28125
2013-09-24,125.9375
2013-09-23,125.45312
2013-09-20,125.29688
2013-09-19,126.125
2013-09-18,126.57812
2013-09-17,125.21875
2013-09-16,125.0625
2013-09-13,124.67188
2013-09-12,124.5625
2013-09-11,124.53125
2013-09-10,124.15625
2013-09-09,124.48438
2013-09-06,124.07812
2013-09-05,123.53125
2013-09-04,124.1875
2013-09-03,124.65625
2013-08-30,125.34375
2013-08-29,125.5
2013-08-28,125.26562
2013-08-27,125.73438
2013-08-26,125.04688
2013-08-23,124.85938
2013-08-22,124.26562
2013-08-21,124.71875
2013-08-20,125.17188
2013-08-19,124.60938
2013-08-16,124.98438
2013-08-15,125.5
2013-08-14,125.78125
2013-08-13,125.70312
2013-08-12,126.625
2013-08-09,126.8125
2013-08-08,126.8125
2013-08-07,126.64062
2013-08-06,126.35938
2013-08-05,126.34375
2013-08-02,126.57812
2013-08-01,125.375
2013-07-31,126.4375
2013-07-30,126.42188
2013-07-29,126.53125
2013-07-26,126.6875
2013-07-25,126.29688
2013-07-24,126.42188
2013-07-23,126.95312
2013-07-22,127.10938
2013-07-19,127.09375
2013-07-18,126.75
2013-07-17,127.01562
2013-07-16,126.59375
2013-07-15,126.5
2013-07-12,126.09375
2013-07-11,126.3125
2013-07-10,125.28125
2013-07-09,125.5
2013-07-08,125.28125
2013-07-05,124.65625
2013-07-03,126.35938
2013-07-02,126.60938
2013-07-01,126.53125
2013-06-28,126.5625
2013-06-27,126.64062
2013-06-26,126.15625
2013-06-25,125.70312
2013-06-24,125.95312
2013-06-21,126.26562
2013-06-20,127.09375
2013-06-19,129.89062
2013-06-18,130.28125
2013-06-17,130.35938
2013-06-14,130.625
2013-06-13,130.0625
2013-06-12,129.70312
2013-06-11,129.92188
2013-06-10,129.8125
2013-06-07,130.14062
2013-06-06,130.79688
2013-06-05,130.5625
2013-06-04,130.34375
2013-06-03,130.42188
2013-05-31,130.25
2013-05-30,130.48438
2013-05-29,130.46875
2013-05-28,130.39062
2013-05-24,131.34375
2013-05-23,131.26562
2013-05-22,131.23438
2013-05-21,131.90625
2013-05-20,131.8125
2013-05-17,131.85938
2013-05-16,132.46875
2013-05-15,131.84375
2013-05-14,131.71875
2013-05-13,131.96875
2013-05-10,132.07812
2013-05-09,132.71875
2013-05-08,132.78125
2013-05-07,132.625
2013-05-06,132.67188
2013-05-03,132.85938
2013-05-02,133.64062
2013-05-01,133.60938
2013-04-30,133.35938
2013-04-29,133.45312
2013-04-26,133.4375
2013-04-25,133.0625
2013-04-24,133.10938
2013-04-23,133.07812
2013-04-22,133.09375
2013-04-19,133
2013-04-18,133.14062
2013-04-17,133.0625
2013-04-16,132.95312
2013-04-15,133.04688
2013-04-12,132.98438
2013-04-11,132.54688
2013-04-10,132.42188
2013-04-09,132.8125
2013-04-08,132.85938
2013-04-05,133.15625
2013-04-04,132.84375
2013-04-03,132.40625
2013-04-02,131.98438
2013-04-01,132.125
2013-03-28,131.98438
2013-03-27,132.125
2013-03-26,131.70312
2013-03-25,131.57812
2013-03-22,131.51562
2013-03-21,131.40625
2013-03-20,131.39062
2013-03-19,132.79688
2013-03-18,132.4375
2013-03-15,132.14062
2013-03-14,131.73438
2013-03-13,131.71875
2013-03-12,131.73438
2013-03-11,131.48438
2013-03-08,131.46875
2013-03-07,131.9375
2013-03-06,132.39062
2013-03-05,132.6875
2013-03-04,132.78125
2013-03-01,132.921875
2013-02-28,132.703125
2013-02-27,132.578125
2013-02-26,132.671875
2013-02-25,132.5
2013-02-22,131.90625
2013-02-21,131.796875
2013-02-20,131.46875
2013-02-19,131.34375
2013-02-15,131.53125
2013-02-14,131.5625
2013-02-13,131.15625
2013-02-12,131.4375
2013-02-11,131.6875
2013-02-08,131.734375
2013-02-07,131.75
2013-02-06,131.609375
2013-02-05,131.21875
2013-02-04,131.5
2013-02-01,131.125
2013-01-31,131.28125
2013-01-30,131.1875
2013-01-29,131.21875
2013-01-28,131.21875
2013-01-25,131.40625
2013-01-24,132.234375
2013-01-23,132.296875
2013-01-22,132.265625
2013-01-18,132.140625
2013-01-17,131.875
2013-01-16,132.296875
2013-01-15,132.265625
2013-01-14,132.03125
2013-01-11,131.90625
2013-01-10,131.71875
2013-01-09,132.0625
2013-01-08,131.859375
2013-01-07,131.57812
2013-01-04,131.515625
2013-01-03,131.625
2013-01-02,132.140625
2012-12-31,132.78125
2012-12-28,132.953125
2012-12-27,132.921875
2012-12-26,132.5
2012-12-24,132.328125
2012-12-21,132.484375
2012-12-20,132.15625
2012-12-19,132.875
2012-12-18,132.578125
2012-12-17,132.984375
2012-12-14,133.390625
2012-12-13,133.296875
2012-12-12,133.609375
2012-12-11,133.921875
2012-12-10,134.109375
2012-12-07,134.0625
2012-12-06,134.359375
2012-12-05,134.28125
2012-12-04,134.078125
2012-12-03,133.96875
2012-11-30,134.125
2012-11-29,134.015625
2012-11-28,133.984375
2012-11-27,133.71875
2012-11-26,133.546875
2012-11-23,133.328125
2012-11-21,133.390625
2012-11-20,133.609375
2012-11-19,133.90625
2012-11-16,134.1875
2012-11-15,134.03125
2012-11-14,134.046875
2012-11-13,134.046875
2012-11-12,133.89062
2012-11-09,133.90625
2012-11-08,133.859375
2012-11-07,133.578125
2012-11-06,132.703125
2012-11-05,133.140625
2012-11-02,132.78125
2012-11-01,132.828125
2012-10-31,133.03125
2012-10-30,132.671875
2012-10-29,132.78125
2012-10-26,132.5625
2012-10-25,131.90625
2012-10-24,132.375
2012-10-23,132.375
2012-10-22,132.109375
2012-10-19,132.390625
2012-10-18,131.984375
2012-10-17,132.078125
2012-10-16,132.875
2012-10-15,133.3125
2012-10-12,133.3125
2012-10-11,133.265625
2012-10-10,133.21875
2012-10-09,133.046875
2012-10-08,133.26562
2012-10-05,132.921875
2012-10-04,133.421875
2012-10-03,133.734375
2012-10-02,133.640625
2012-10-01,133.578125
2012-09-28,133.484375
2012-09-27,133.5
2012-09-26,133.640625
2012-09-25,133.171875
2012-09-24,132.921875
2012-09-21,132.671875
2012-09-20,132.40625
2012-09-19,133.546875
2012-09-18,133.4375
2012-09-17,133.3125
2012-09-14,133.140625
2012-09-13,133.96875
2012-09-12,133.53125
2012-09-11,133.9375
2012-09-10,133.96875
2012-09-07,134.125
2012-09-06,133.84375
2012-09-05,134.421875
2012-09-04,134.453125
2012-08-31,134.75
2012-08-30,134.1875
2012-08-29,133.84375
2012-08-28,133.953125
2012-08-27,133.8125
2012-08-24,133.578125
2012-08-23,133.6875
2012-08-22,133.3125
2012-08-21,132.609375
2012-08-20,132.515625
2012-08-17,132.5
2012-08-16,132.359375
2012-08-15,132.578125
2012-08-14,133.140625
2012-08-13,133.625
2012-08-10,133.734375
2012-08-09,133.453125
2012-08-08,133.484375
2012-08-07,133.578125
2012-08-06,134.109375
2012-08-03,133.90625
2012-08-02,134.625
2012-08-01,134.15625
2012-07-31,134.65625
2012-07-30,134.5625
2012-07-27,134.125
2012-07-26,135.03125
2012-07-25,135.234375
2012-07-24,135.265625
2012-07-23,135.0625
2012-07-20,134.90625
2012-07-19,134.46875
2012-07-18,134.75
2012-07-17,134.546875
2012-07-16,134.8125
2012-07-13,134.546875
2012-07-12,134.65625
2012-07-11,134.59375
2012-07-10,134.625
2012-07-09,134.546875
2012-07-06,134.359375
2012-07-05,133.953125
2012-07-03,133.640625
2012-07-02,134.015625
2012-06-29,133.375
2012-06-28,133.921875
2012-06-27,133.546875
2012-06-26,133.4375
2012-06-25,133.5625
2012-06-22,133
2012-06-21,133.359375
2012-06-20,134.0625
2012-06-19,134.34375
2012-06-18,134.53125
2012-06-15,134.609375
2012-06-14,134.359375
2012-06-13,134.5625
2012-06-12,134.109375
2012-06-11,134.640625
2012-06-08,134.34375
2012-06-07,134.296875
2012-06-06,134.1875
2012-06-05,134.796875
2012-06-04,135
2012-06-01,135.65625
2012-05-31,134.90625
2012-05-30,134.671875
2012-05-29,133.828125
2012-05-25,133.765625
2012-05-24,133.546875
2012-05-23,133.796875
2012-05-22,133.3125
2012-05-21,133.625
2012-05-18,133.8125
2012-05-17,133.765625
2012-05-16,133.421875
2012-05-15,133.375
2012-05-14,133.421875
2012-05-11,133.078125
2012-05-10,132.78125
2012-05-09,132.90625
2012-05-08,132.921875
2012-05-07,132.640625
2012-05-04,132.640625
2012-05-03,132.1875
2012-05-02,132.1875
2012-05-01,131.96875
2012-04-30,132.28125
2012-04-27,132.15625
2012-04-26,131.921875
2012-04-25,131.6875
2012-04-24,131.78125
2012-04-23,131.984375
2012-04-20,131.671875
2012-04-19,131.765625
2012-04-18,131.5625
2012-04-17,131.421875
2012-04-16,131.6875
2012-04-13,131.53125
2012-04-12,131.140625
2012-04-11,131.328125
2012-04-10,131.59375
2012-04-09,131.140625
2012-04-06,131.046875
2012-04-05,129.96875
2012-04-04,129.375
2012-04-03,128.921875
2012-04-02,129.703125
2012-03-30,129.484375
2012-03-29,129.90625
2012-03-28,129.578125
2012-03-27,129.59375
2012-03-26,129.0625
2012-03-23,129.046875
2012-03-22,128.734375
2012-03-21,128.96875
2012-03-20,128.546875
2012-03-19,128.53125
2012-03-16,129.046875
2012-03-15,129.34375
2012-03-14,129.234375
2012-03-13,130.484375
2012-03-12,131.078125
2012-03-09,131.0625
2012-03-08,131.21875
2012-03-07,131.515625
2012-03-06,131.71875
2012-03-05,131.203125
2012-03-02,131.390625
2012-03-01,130.890625
2012-02-29,131.265625
2012-02-28,131.671875
2012-02-27,131.625
2012-02-24,131.1875
2012-02-23,131.203125
2012-02-22,131.046875
2012-02-21,130.640625
2012-02-17,130.921875
2012-02-16,130.984375
2012-02-15,131.578125
2012-02-14,131.53125
2012-02-13,131.125
2012-02-10,131.390625
2012-02-09,130.78125
2012-02-08,131.09375
2012-02-07,131.15625
2012-02-06,131.671875
2012-02-03,131.328125
2012-02-02,132.171875
2012-02-01,131.984375
2012-01-31,132.25
2012-01-30,132.03125
2012-01-27,131.71875
2012-01-26,131.4375
2012-01-25,130.765625
2012-01-24,130.09375
2012-01-23,129.984375
