Date,ACWI
1987-12-31,100.000
1988-01-29,102.330
1988-02-29,108.073
1988-03-31,111.222
1988-04-29,112.448
1988-05-31,110.041
1988-06-30,109.746
1988-07-29,111.593
1988-08-31,105.278
1988-09-30,109.618
1988-10-31,116.601
1988-11-30,120.314
1988-12-30,121.202
1989-01-31,125.369
1989-02-28,124.408
1989-03-31,123.495
1989-04-28,126.365
1989-05-31,123.158
1989-06-30,121.227
1989-07-31,134.694
1989-08-31,131.299
1989-09-29,135.039
1989-10-31,130.458
1989-11-30,135.359
1989-12-29,139.569
1990-01-31,132.914
1990-02-28,127.092
1990-03-30,118.996
1990-04-30,117.243
1990-05-31,129.242
1990-06-29,128.119
1990-07-31,129.157
1990-08-31,116.748
1990-09-28,104.283
1990-10-31,113.615
1990-11-30,111.441
1990-12-31,113.564
1991-01-31,117.497
1991-02-28,128.281
1991-03-29,124.438
1991-04-30,125.212
1991-05-31,127.942
1991-06-28,119.884
1991-07-31,125.336
1991-08-30,124.821
1991-09-30,127.737
1991-10-31,129.699
1991-11-29,123.853
1991-12-31,132.780
1992-01-31,130.533
1992-02-28,128.293
1992-03-31,122.311
1992-04-30,123.670
1992-05-29,128.131
1992-06-30,123.278
1992-07-31,123.390
1992-08-31,125.873
1992-09-30,124.525
1992-10-30,121.216
1992-11-30,122.976
1992-12-31,123.882
1993-01-29,124.065
1993-02-26,126.728
1993-03-31,133.750
1993-04-30,139.540
1993-05-31,142.542
1993-06-30,141.349
1993-07-30,144.013
1993-08-31,150.583
1993-09-30,147.797
1993-10-29,151.915
1993-11-30,143.762
1993-12-31,151.279
1994-01-31,161.054
1994-02-28,158.466
1994-03-31,151.071
1994-04-29,154.903
1994-05-31,155.536
1994-06-30,154.502
1994-07-29,157.656
1994-08-31,162.998
1994-09-30,158.893
1994-10-31,162.678
1994-11-30,155.330
1994-12-30,155.596
1995-01-31,152.153
1995-02-28,153.493
1995-03-31,160.210
1995-04-28,165.732
1995-05-31,167.244
1995-06-30,166.966
1995-07-31,174.737
1995-08-31,170.611
1995-09-29,175.000
1995-10-31,171.776
1995-11-30,176.881
1995-12-29,181.895
1996-01-31,185.639
1996-02-29,186.093
1996-03-29,188.636
1996-04-30,192.895
1996-05-31,192.759
1996-06-28,193.484
1996-07-31,185.927
1996-08-30,187.894
1996-09-30,194.511
1996-10-31,194.976
1996-11-29,205.077
1996-12-31,201.784
1997-01-31,204.858
1997-02-28,207.339
1997-03-31,202.842
1997-04-30,208.993
1997-05-30,221.109
1997-06-30,232.081
1997-07-31,242.237
1997-08-29,224.917
1997-09-30,236.582
1997-10-31,222.174
1997-11-28,225.256
1997-12-31,227.875
1998-01-30,232.576
1998-02-27,248.164
1998-03-31,258.389
1998-04-30,260.455
1998-05-29,255.141
1998-06-30,259.395
1998-07-31,259.118
1998-08-31,222.452
1998-09-30,226.527
1998-10-30,246.874
1998-11-30,261.527
1998-12-31,273.301
1999-01-29,278.551
1999-02-26,271.211
1999-03-31,283.043
1999-04-30,294.915
1999-05-31,284.107
1999-06-30,297.892
1999-07-30,296.311
1999-08-31,295.599
1999-09-30,292.055
1999-10-29,306.497
1999-11-30,315.679
1999-12-31,341.626
2000-01-31,322.834
2000-02-29,323.592
2000-03-31,344.498
2000-04-28,328.684
2000-05-31,319.776
2000-06-30,330.209
2000-07-31,320.160
2000-08-31,329.761
2000-09-29,311.309
2000-10-31,304.895
2000-11-30,285.682
2000-12-29,290.113
2001-01-31,297.271
2001-02-28,271.968
2001-03-30,253.117
2001-04-30,271.089
2001-05-31,267.374
2001-06-29,258.844
2001-07-31,254.542
2001-08-31,242.414
2001-09-28,219.961
2001-10-31,224.482
2001-11-30,238.000
2001-12-31,240.033
2002-01-31,233.258
2002-02-28,231.208
2002-03-29,241.171
2002-04-30,233.131
2002-05-31,232.824
2002-06-3,229.634
2002-06-4,228.471
2002-06-5,228.464
2002-06-6,226.066
2002-06-7,224.626
2002-06-10,224.983
2002-06-11,223.166
2002-06-12,222.674
2002-06-13,220.364
2002-06-14,218.186
2002-06-17,222.819
2002-06-18,223.237
2002-06-19,219.906
2002-06-20,217.593
2002-06-21,215.377
2002-06-24,214.908
2002-06-25,213.818
2002-06-26,212.633
2002-06-27,215.330
2002-06-28,218.252
2002-07-1,215.682
2002-07-2,211.181
2002-07-3,210.171
2002-07-4,211.194
2002-07-5,217.773
2002-07-8,217.079
2002-07-9,214.347
2002-07-10,207.930
2002-07-11,206.171
2002-07-12,205.871
2002-07-15,203.044
2002-07-16,200.961
2002-07-17,203.328
2002-07-18,201.600
2002-07-19,194.767
2002-07-22,187.739
2002-07-23,183.046
2002-07-24,187.337
2002-07-25,188.701
2002-07-26,189.312
2002-07-29,197.519
2002-07-30,198.942
2002-07-31,199.729
2002-08-1,194.063
2002-08-2,191.653
2002-08-5,186.103
2002-08-6,189.339
2002-08-7,192.066
2002-08-8,197.551
2002-08-9,199.428
2002-08-12,197.698
2002-08-13,195.787
2002-08-14,199.513
2002-08-15,202.218
2002-08-16,202.622
2002-08-19,205.962
2002-08-20,203.539
2002-08-21,205.961
2002-08-22,208.426
2002-08-23,204.976
2002-08-26,205.748
2002-08-27,205.414
2002-08-28,200.866
2002-08-29,199.729
2002-08-30,199.846
2002-09-2,198.924
2002-09-3,192.151
2002-09-4,193.487
2002-09-5,191.596
2002-09-6,194.386
2002-09-9,194.850
2002-09-10,196.686
2002-09-11,197.729
2002-09-12,193.351
2002-09-13,192.183
2002-09-16,191.596
2002-09-17,189.405
2002-09-18,187.198
2002-09-19,183.641
2002-09-20,183.249
2002-09-23,179.899
2002-09-24,177.008
2002-09-25,179.784
2002-09-26,184.015
2002-09-27,180.959
2002-09-30,177.625
2002-10-1,181.738
2002-10-2,180.494
2002-10-3,178.622
2002-10-4,175.263
2002-10-7,171.851
2002-10-8,172.439
2002-10-9,169.476
2002-10-10,173.467
2002-10-11,179.943
2002-10-14,180.333
2002-10-15,188.692
2002-10-16,185.497
2002-10-17,189.251
2002-10-18,189.851
2002-10-21,191.738
2002-10-22,189.747
2002-10-23,189.223
2002-10-24,188.683
2002-10-25,190.621
2002-10-28,190.857
2002-10-29,187.592
2002-10-30,189.925
2002-10-31,190.489
2002-11-1,192.074
2002-11-4,195.071
2002-11-5,196.820
2002-11-6,197.195
2002-11-7,194.256
2002-11-8,192.706
2002-11-11,189.361
2002-11-12,190.827
2002-11-13,190.005
2002-11-14,193.196
2002-11-15,194.861
2002-11-18,194.042
2002-11-19,193.285
2002-11-20,195.005
2002-11-21,199.460
2002-11-22,199.344
2002-11-25,199.261
2002-11-26,195.650
2002-11-27,199.820
2002-11-28,201.023
2002-11-29,200.604
2002-12-2,200.263
2002-12-3,197.553
2002-12-4,196.433
2002-12-5,194.296
2002-12-6,195.195
2002-12-9,191.512
2002-12-10,193.182
2002-12-11,193.686
2002-12-12,193.048
2002-12-13,191.218
2002-12-16,194.829
2002-12-17,193.854
2002-12-18,190.842
2002-12-19,189.997
2002-12-20,191.980
2002-12-23,192.399
2002-12-24,192.114
2002-12-25,192.049
2002-12-26,192.041
2002-12-27,189.017
2002-12-30,190.149
2002-12-31,190.797
2003-01-1,190.799
2003-01-2,195.275
2003-01-3,196.018
2003-01-6,199.691
2003-01-7,197.931
2003-01-8,195.047
2003-01-9,197.983
2003-01-10,198.537
2003-01-13,198.693
2003-01-14,200.094
2003-01-15,197.925
2003-01-16,197.327
2003-01-17,194.881
2003-01-20,193.934
2003-01-21,191.807
2003-01-22,189.685
2003-01-23,191.101
2003-01-24,187.549
2003-01-27,183.541
2003-01-28,184.776
2003-01-29,185.578
2003-01-30,183.854
2003-01-31,185.033
2003-02-3,186.706
2003-02-4,184.377
2003-02-5,184.552
2003-02-6,182.537
2003-02-7,180.857
2003-02-10,180.926
2003-02-11,180.944
2003-02-12,179.137
2003-02-13,178.950
2003-02-14,181.684
2003-02-17,182.755
2003-02-18,185.078
2003-02-19,183.440
2003-02-20,182.514
2003-02-21,184.022
2003-02-24,181.651
2003-02-25,180.253
2003-02-26,178.779
2003-02-27,180.020
2003-02-28,181.416
2003-03-3,181.468
2003-03-4,179.035
2003-03-5,179.695
2003-03-6,178.095
2003-03-7,177.795
2003-03-10,173.856
2003-03-11,172.630
2003-03-12,171.386
2003-03-13,176.429
2003-03-14,178.365
2003-03-17,182.818
2003-03-18,183.617
2003-03-19,184.989
2003-03-20,185.557
2003-03-21,189.072
2003-03-24,184.122
2003-03-25,185.708
2003-03-26,185.335
2003-03-27,184.492
2003-03-28,183.645
2003-03-31,180.201
2003-04-1,182.090
2003-04-2,185.994
2003-04-3,185.656
2003-04-4,186.496
2003-04-7,188.504
2003-04-8,187.527
2003-04-9,185.854
2003-04-10,186.120
2003-04-11,185.535
2003-04-14,188.094
2003-04-15,190.039
2003-04-16,188.648
2003-04-17,190.960
2003-04-18,191.059
2003-04-21,190.567
2003-04-22,193.542
2003-04-23,195.147
2003-04-24,193.768
2003-04-25,191.139
2003-04-28,194.023
2003-04-29,194.530
2003-04-30,195.753
2003-05-1,196.137
2003-05-2,197.919
2003-05-5,198.376
2003-05-6,200.840
2003-05-7,199.950
2003-05-8,197.807
2003-05-9,200.126
2003-05-12,202.198
2003-05-13,201.868
2003-05-14,201.726
2003-05-15,202.891
2003-05-16,203.122
2003-05-19,198.887
2003-05-20,198.841
2003-05-21,198.878
2003-05-22,200.776
2003-05-23,201.529
2003-05-26,201.821
2003-05-27,204.079
2003-05-28,204.852
2003-05-29,205.335
2003-05-30,206.535
2003-06-2,208.458
2003-06-3,208.507
2003-06-4,210.885
2003-06-5,212.295
2003-06-6,212.701
2003-06-9,210.963
2003-06-10,211.853
2003-06-11,214.801
2003-06-12,215.366
2003-06-13,213.811
2003-06-16,217.509
2003-06-17,218.581
2003-06-18,218.090
2003-06-19,215.321
2003-06-20,215.523
2003-06-23,212.334
2003-06-24,211.573
2003-06-25,211.327
2003-06-26,211.639
2003-06-27,210.822
2003-06-30,210.079
2003-07-1,210.962
2003-07-2,213.840
2003-07-3,213.763
2003-07-4,213.302
2003-07-7,216.746
2003-07-8,216.934
2003-07-9,216.002
2003-07-10,213.662
2003-07-11,214.703
2003-07-14,216.714
2003-07-15,215.531
2003-07-16,214.081
2003-07-17,211.291
2003-07-18,212.835
2003-07-21,211.169
2003-07-22,212.540
2003-07-23,213.365
2003-07-24,213.910
2003-07-25,215.980
2003-07-28,216.505
2003-07-29,215.378
2003-07-30,214.189
2003-07-31,214.455
2003-08-1,212.852
2003-08-4,212.851
2003-08-5,210.969
2003-08-6,210.192
2003-08-7,211.547
2003-08-8,212.207
2003-08-11,213.293
2003-08-12,214.790
2003-08-13,214.580
2003-08-14,216.288
2003-08-15,216.429
2003-08-18,217.885
2003-08-19,218.233
2003-08-20,218.385
2003-08-21,218.817
2003-08-22,217.275
2003-08-25,216.946
2003-08-26,216.587
2003-08-27,217.066
2003-08-28,218.052
2003-08-29,219.098
2003-09-1,220.415
2003-09-2,221.787
2003-09-3,223.323
2003-09-4,223.711
2003-09-5,223.395
2003-09-8,225.444
2003-09-9,224.531
2003-09-10,222.237
2003-09-11,222.559
2003-09-12,223.402
2003-09-15,222.993
2003-09-16,225.445
2003-09-17,225.812
2003-09-18,228.295
2003-09-19,227.884
2003-09-22,225.529
2003-09-23,226.246
2003-09-24,224.007
2003-09-25,222.342
2003-09-26,220.716
2003-09-29,221.816
2003-09-30,220.151
2003-10-1,224.594
2003-10-2,225.873
2003-10-3,228.479
2003-10-6,229.169
2003-10-7,230.325
2003-10-8,229.415
2003-10-9,231.039
2003-10-10,231.716
2003-10-13,233.004
2003-10-14,233.594
2003-10-15,233.327
2003-10-16,234.306
2003-10-17,232.491
2003-10-20,233.377
2003-10-21,233.804
2003-10-22,231.110
2003-10-23,229.405
2003-10-24,229.181
2003-10-27,230.086
2003-10-28,232.676
2003-10-29,233.486
2003-10-30,233.691
2003-10-31,233.236
2003-11-3,234.356
2003-11-4,234.497
2003-11-5,233.773
2003-11-6,233.771
2003-11-7,234.494
2003-11-10,233.389
2003-11-11,232.236
2003-11-12,234.604
2003-11-13,235.772
2003-11-14,235.147
2003-11-17,232.157
2003-11-18,231.841
2003-11-19,231.888
2003-11-20,231.044
2003-11-21,231.541
2003-11-24,233.683
2003-11-25,234.408
2003-11-26,236.010
2003-11-27,236.229
2003-11-28,236.424
2003-12-1,239.463
2003-12-2,239.748
2003-12-3,240.046
2003-12-4,240.382
2003-12-5,239.318
2003-12-8,239.957
2003-12-9,239.326
2003-12-10,238.277
2003-12-11,239.799
2003-12-12,241.201
2003-12-15,241.437
2003-12-16,241.608
2003-12-17,241.728
2003-12-18,243.951
2003-12-19,244.315
2003-12-22,245.298
2003-12-23,246.093
2003-12-24,246.324
2003-12-25,246.336
2003-12-26,246.722
2003-12-29,249.082
2003-12-30,250.164
2003-12-31,251.131
2004-01-1,251.140
2004-01-2,251.738
2004-01-5,255.235
2004-01-6,255.764
2004-01-7,255.218
2004-01-8,256.969
2004-01-9,256.516
2004-01-12,256.781
2004-01-13,256.000
2004-01-14,257.089
2004-01-15,256.260
2004-01-16,256.943
2004-01-19,257.294
2004-01-20,258.391
2004-01-21,260.086
2004-01-22,260.367
2004-01-23,259.960
2004-01-26,260.505
2004-01-27,259.571
2004-01-28,257.593
2004-01-29,255.613
2004-01-30,255.195
2004-02-2,255.959
2004-02-3,256.466
2004-02-4,254.251
2004-02-5,254.887
2004-02-6,258.021
2004-02-9,258.644
2004-02-10,259.543
2004-02-11,261.125
2004-02-12,261.671
2004-02-13,260.882
2004-02-16,261.110
2004-02-17,263.631
2004-02-18,262.805
2004-02-19,261.977
2004-02-20,259.935
2004-02-23,259.806
2004-02-24,259.097
2004-02-25,259.075
2004-02-26,258.775
2004-02-27,259.511
2004-03-1,262.581
2004-03-2,261.215
2004-03-3,259.797
2004-03-4,260.987
2004-03-5,262.911
2004-03-8,261.325
2004-03-9,260.301
2004-03-10,256.326
2004-03-11,251.995
2004-03-12,253.050
2004-03-15,250.258
2004-03-16,252.483
2004-03-17,254.897
2004-03-18,255.314
2004-03-19,253.780
2004-03-22,250.395
2004-03-23,249.965
2004-03-24,249.301
2004-03-25,252.483
2004-03-26,252.595
2004-03-29,255.704
2004-03-30,256.549
2004-03-31,257.430
2004-04-1,259.668
2004-04-2,260.835
2004-04-5,261.786
2004-04-6,261.523
2004-04-7,261.370
2004-04-8,261.057
2004-04-9,260.635
2004-04-12,261.627
2004-04-13,259.003
2004-04-14,256.910
2004-04-15,256.419
2004-04-16,258.232
2004-04-19,258.280
2004-04-20,256.407
2004-04-21,255.659
2004-04-22,257.774
2004-04-23,258.378
2004-04-26,258.270
2004-04-27,258.304
2004-04-28,254.429
2004-04-29,252.826
2004-04-30,250.932
2004-05-3,252.312
2004-05-4,254.218
2004-05-5,255.273
2004-05-6,252.249
2004-05-7,248.295
2004-05-10,242.332
2004-05-11,244.014
2004-05-12,244.968
2004-05-13,244.209
2004-05-14,243.452
2004-05-17,240.813
2004-05-18,242.587
2004-05-19,245.386
2004-05-20,243.972
2004-05-21,245.889
2004-05-24,246.279
2004-05-25,248.641
2004-05-26,249.925
2004-05-27,252.623
2004-05-28,252.174
2004-05-31,252.278
2004-06-1,252.058
2004-06-2,252.770
2004-06-3,250.877
2004-06-4,252.225
2004-06-7,256.756
2004-06-8,256.991
2004-06-9,254.327
2004-06-10,255.161
2004-06-11,254.161
2004-06-14,251.713
2004-06-15,253.160
2004-06-16,254.096
2004-06-17,254.374
2004-06-18,255.143
2004-06-21,254.790
2004-06-22,254.355
2004-06-23,255.876
2004-06-24,257.272
2004-06-25,256.206
2004-06-28,257.051
2004-06-29,256.439
2004-06-30,256.895
2004-07-1,255.519
2004-07-2,255.044
2004-07-5,254.340
2004-07-6,252.813
2004-07-7,253.647
2004-07-8,252.635
2004-07-9,253.403
2004-07-12,253.658
2004-07-13,253.256
2004-07-14,252.614
2004-07-15,251.056
2004-07-16,251.415
2004-07-19,251.118
2004-07-20,251.455
2004-07-21,249.339
2004-07-22,248.635
2004-07-23,246.047
2004-07-26,245.076
2004-07-27,245.950
2004-07-28,246.263
2004-07-29,247.722
2004-07-30,248.451
2004-08-2,248.984
2004-08-3,248.581
2004-08-4,247.347
2004-08-5,245.325
2004-08-6,243.049
2004-08-9,242.379
2004-08-10,244.760
2004-08-11,243.297
2004-08-12,241.627
2004-08-13,242.028
2004-08-16,244.141
2004-08-17,244.779
2004-08-18,246.456
2004-08-19,247.195
2004-08-20,247.852
2004-08-23,247.747
2004-08-24,247.286
2004-08-25,248.616
2004-08-26,249.363
2004-08-27,250.148
2004-08-30,248.873
2004-08-31,249.507
2004-09-1,250.693
2004-09-2,252.399
2004-09-3,251.106
2004-09-6,252.035
2004-09-7,253.224
2004-09-8,252.887
2004-09-9,252.608
2004-09-10,254.390
2004-09-13,255.233
2004-09-14,255.855
2004-09-15,253.399
2004-09-16,254.252
2004-09-17,255.147
2004-09-20,254.289
2004-09-21,256.310
