Date,EEM
1988-01-01,100.000
1988-01-04,99.836
1988-01-05,103.827
1988-01-06,106.412
1988-01-07,107.800
1988-01-08,108.321
1988-01-11,105.171
1988-01-12,107.437
1988-01-13,105.726
1988-01-14,104.953
1988-01-15,106.179
1988-01-18,109.350
1988-01-19,110.363
1988-01-20,110.952
1988-01-21,109.911
1988-01-22,109.987
1988-01-25,110.047
1988-01-26,108.627
1988-01-27,107.855
1988-01-28,108.733
1988-01-29,109.419
1988-02-01,108.927
1988-02-02,108.642
1988-02-03,109.426
1988-02-04,109.021
1988-02-05,107.784
1988-02-08,108.083
1988-02-09,108.304
1988-02-10,108.441
1988-02-11,108.564
1988-02-12,108.032
1988-02-15,109.082
1988-02-16,109.663
1988-02-17,109.827
1988-02-18,110.079
1988-02-19,109.857
1988-02-22,110.114
1988-02-23,110.599
1988-02-24,110.533
1988-02-25,109.942
1988-02-26,108.803
1988-02-29,109.682
1988-03-01,111.334
1988-03-02,111.143
1988-03-03,111.744
1988-03-04,113.171
1988-03-07,113.886
1988-03-08,114.287
1988-03-09,114.101
1988-03-10,114.511
1988-03-11,114.933
1988-03-14,115.584
1988-03-15,115.326
1988-03-16,114.545
1988-03-17,115.961
1988-03-18,117.388
1988-03-21,117.888
1988-03-22,117.723
1988-03-23,119.531
1988-03-24,120.459
1988-03-25,119.712
1988-03-28,119.549
1988-03-29,119.689
1988-03-30,120.698
1988-03-31,120.643
1988-04-01,120.677
1988-04-04,119.079
1988-04-05,118.016
1988-04-06,119.059
1988-04-07,119.943
1988-04-08,120.879
1988-04-11,121.570
1988-04-12,122.617
1988-04-13,123.075
1988-04-14,123.480
1988-04-15,120.640
1988-04-18,120.862
1988-04-19,119.519
1988-04-20,121.142
1988-04-21,122.758
1988-04-22,124.649
1988-04-25,124.965
1988-04-26,124.550
1988-04-27,125.701
1988-04-28,126.790
1988-04-29,126.266
1988-05-02,124.970
1988-05-03,124.279
1988-05-04,123.115
1988-05-05,121.147
1988-05-06,121.178
1988-05-09,121.475
1988-05-10,120.973
1988-05-11,122.344
1988-05-12,122.287
1988-05-13,122.719
1988-05-16,123.315
1988-05-17,123.908
1988-05-18,124.219
1988-05-19,125.428
1988-05-20,126.761
1988-05-23,127.328
1988-05-24,127.087
1988-05-25,128.245
1988-05-26,128.010
1988-05-27,129.041
1988-05-30,128.701
1988-05-31,129.617
1988-06-01,131.390
1988-06-02,131.266
1988-06-03,130.918
1988-06-06,129.978
1988-06-07,131.420
1988-06-08,131.392
1988-06-09,132.437
1988-06-10,131.893
1988-06-13,131.074
1988-06-14,131.395
1988-06-15,132.516
1988-06-16,132.183
1988-06-17,134.421
1988-06-20,135.260
1988-06-21,134.230
1988-06-22,134.663
1988-06-23,134.474
1988-06-24,133.744
1988-06-27,132.486
1988-06-28,132.800
1988-06-29,134.248
1988-06-30,133.710
1988-07-01,134.254
1988-07-04,134.062
1988-07-05,133.462
1988-07-06,133.275
1988-07-07,132.717
1988-07-08,132.317
1988-07-11,132.119
1988-07-12,132.035
1988-07-13,132.218
1988-07-14,131.752
1988-07-15,130.898
1988-07-18,130.008
1988-07-19,129.519
1988-07-20,129.173
1988-07-21,129.794
1988-07-22,130.413
1988-07-25,129.182
1988-07-26,127.721
1988-07-27,128.409
1988-07-28,129.315
1988-07-29,129.921
1988-08-01,130.015
1988-08-02,129.337
1988-08-03,128.682
1988-08-04,128.881
1988-08-05,128.950
1988-08-08,128.900
1988-08-09,128.736
1988-08-10,128.780
1988-08-11,128.579
1988-08-12,129.267
1988-08-15,129.427
1988-08-16,128.233
1988-08-17,128.864
1988-08-18,128.888
1988-08-19,128.339
1988-08-22,127.390
1988-08-23,126.572
1988-08-24,127.603
1988-08-25,127.581
1988-08-26,127.667
1988-08-29,126.388
1988-08-30,125.923
1988-08-31,125.919
1988-09-01,125.626
1988-09-02,126.406
1988-09-05,127.665
1988-09-06,127.887
1988-09-07,128.249
1988-09-08,129.604
1988-09-09,129.806
1988-09-12,129.530
1988-09-13,129.146
1988-09-14,130.727
1988-09-15,130.861
1988-09-16,131.449
1988-09-19,131.998
1988-09-20,132.866
1988-09-21,133.067
1988-09-22,133.079
1988-09-23,133.654
1988-09-26,134.173
1988-09-27,134.379
1988-09-28,133.206
1988-09-29,133.171
1988-09-30,133.736
1988-10-03,134.205
1988-10-04,134.700
1988-10-05,133.335
1988-10-06,132.228
1988-10-07,132.751
1988-10-10,133.519
1988-10-11,132.993
1988-10-12,132.889
1988-10-13,130.780
1988-10-14,131.288
1988-10-17,131.467
1988-10-18,132.396
1988-10-19,131.790
1988-10-20,130.729
1988-10-21,130.926
1988-10-24,130.880
1988-10-25,130.757
1988-10-26,130.348
1988-10-27,131.358
1988-10-28,132.459
1988-10-31,132.541
1988-11-01,131.830
1988-11-02,132.746
1988-11-03,133.658
1988-11-04,135.618
1988-11-07,137.233
1988-11-08,137.303
1988-11-09,138.264
1988-11-10,136.985
1988-11-11,136.461
1988-11-14,135.462
1988-11-15,135.268
1988-11-16,134.378
1988-11-17,134.836
1988-11-18,135.918
1988-11-21,134.401
1988-11-22,133.597
1988-11-23,133.137
1988-11-24,133.958
1988-11-25,133.102
1988-11-28,130.942
1988-11-29,131.078
1988-11-30,131.761
1988-12-01,131.049
1988-12-02,130.313
1988-12-05,128.766
1988-12-06,127.662
1988-12-07,127.473
1988-12-08,128.374
1988-12-09,128.830
1988-12-12,128.936
1988-12-13,128.862
1988-12-14,128.540
1988-12-15,127.959
1988-12-16,127.941
1988-12-19,128.024
1988-12-20,129.748
1988-12-21,130.890
1988-12-22,132.127
1988-12-23,132.799
1988-12-26,136.125
1988-12-27,134.374
1988-12-28,134.398
1988-12-29,134.993
1988-12-30,134.871
1989-01-02,134.363
1989-01-03,133.456
1989-01-04,134.401
1989-01-05,135.215
1989-01-06,135.877
1989-01-09,136.585
1989-01-10,137.398
1989-01-11,138.046
1989-01-12,139.542
1989-01-13,138.794
1989-01-16,139.115
1989-01-17,139.448
1989-01-18,132.208
1989-01-19,131.002
1989-01-20,132.093
1989-01-23,132.204
1989-01-24,131.475
1989-01-25,131.015
1989-01-26,131.385
1989-01-27,132.216
1989-01-30,132.289
1989-01-31,132.660
1989-02-01,133.584
1989-02-02,135.052
1989-02-03,137.134
1989-02-06,137.037
1989-02-07,136.914
1989-02-08,137.027
1989-02-09,137.093
1989-02-10,138.298
1989-02-13,137.205
1989-02-14,137.145
1989-02-15,138.239
1989-02-16,138.756
1989-02-17,139.226
1989-02-20,139.296
1989-02-21,140.528
1989-02-22,142.163
1989-02-23,142.447
1989-02-24,143.296
1989-02-27,142.916
1989-02-28,142.524
1989-03-01,142.080
1989-03-02,142.873
1989-03-03,145.321
1989-03-06,144.911
1989-03-07,145.117
1989-03-08,144.459
1989-03-09,146.164
1989-03-10,146.724
1989-03-13,146.036
1989-03-14,146.444
1989-03-15,147.940
1989-03-16,149.704
1989-03-17,150.210
1989-03-20,150.854
1989-03-21,149.930
1989-03-22,149.941
1989-03-23,150.183
1989-03-24,150.191
1989-03-27,151.225
1989-03-28,150.829
1989-03-29,151.058
1989-03-30,152.316
1989-03-31,155.992
1989-04-03,157.177
1989-04-04,158.697
1989-04-05,160.437
1989-04-06,159.916
1989-04-07,159.363
1989-04-10,161.378
