Date,EFA
1969-12-31,100.000
1970-01-30,98.624
1970-02-27,96.097
1970-03-31,97.340
1970-04-30,88.966
1970-05-29,84.280
1970-06-30,85.850
1970-07-31,89.003
1970-08-31,89.103
1970-09-30,89.493
1970-10-30,88.447
1970-11-30,84.370
1970-12-31,85.872
1971-01-29,89.074
1971-02-26,89.582
1971-03-31,93.166
1971-04-30,96.479
1971-05-31,98.000
1971-06-30,100.030
1971-07-30,103.987
1971-08-31,102.230
1971-09-30,100.387
1971-10-29,96.910
1971-11-30,99.785
1971-12-31,108.315
1972-01-31,114.280
1972-02-29,121.438
1972-03-31,125.089
1972-04-28,127.740
1972-05-31,131.544
1972-06-30,127.709
1972-07-31,134.261
1972-08-31,135.425
1972-09-29,130.682
1972-10-31,131.726
1972-11-30,140.057
1972-12-29,144.366
1973-01-31,146.515
1973-02-28,158.266
1973-03-30,158.900
1973-04-30,149.629
1973-05-31,152.893
1973-06-29,156.280
1973-07-31,153.965
1973-08-31,145.764
1973-09-28,144.402
1973-10-31,147.132
1973-11-30,125.598
1973-12-31,120.087
1974-01-31,120.546
1974-02-28,124.179
1974-03-29,120.589
1974-04-30,123.443
1974-05-31,118.250
1974-06-28,112.519
1974-07-31,106.441
1974-08-30,95.109
1974-09-30,87.837
1974-10-31,88.243
1974-11-29,90.666
1974-12-31,89.348
1975-01-31,104.898
1975-02-28,118.318
1975-03-31,116.634
1975-04-30,121.732
1975-05-30,120.392
1975-06-30,115.292
1975-07-31,110.148
1975-08-29,109.599
1975-09-30,104.233
1975-10-31,112.835
1975-11-28,115.135
1975-12-31,117.235
1976-01-30,123.044
1976-02-27,121.721
1976-03-31,119.289
1976-04-30,118.368
1976-05-31,114.800
1976-06-30,116.354
1976-07-30,114.616
1976-08-31,114.313
1976-09-30,111.958
1976-10-29,104.441
1976-11-30,105.343
1976-12-31,116.809
1977-01-31,115.736
1977-02-28,117.902
1977-03-31,117.883
1977-04-29,120.929
1977-05-31,120.034
1977-06-30,122.314
1977-07-29,120.069
1977-08-31,124.962
1977-09-30,128.266
1977-10-31,131.047
1977-11-30,129.509
1977-12-30,133.879
1978-01-31,135.148
1978-02-28,136.251
1978-03-31,145.718
1978-04-28,144.200
1978-05-31,146.679
1978-06-30,152.821
1978-07-31,165.629
1978-08-31,168.493
1978-09-29,173.008
1978-10-31,182.417
1978-11-30,164.946
1978-12-29,172.590
1979-01-31,173.109
1979-02-28,171.802
1979-03-30,175.089
1979-04-30,173.863
1979-05-31,169.707
1979-06-29,172.174
1979-07-31,173.612
1979-08-31,177.216
1979-09-28,184.390
1979-10-31,169.092
1979-11-30,170.592
1979-12-31,175.723
1980-01-31,183.578
1980-02-29,182.173
1980-03-31,162.171
1980-04-30,176.809
1980-05-30,184.339
1980-06-30,195.379
1980-07-31,193.686
1980-08-29,199.664
1980-09-30,205.885
1980-10-31,213.826
1980-11-28,208.799
1980-12-31,209.132
1981-01-30,205.558
1981-02-27,202.165
1981-03-31,208.775
1981-04-30,213.768
1981-05-29,204.124
1981-06-30,204.948
1981-07-31,196.045
1981-08-31,200.068
1981-09-30,179.568
1981-10-30,181.917
1981-11-30,201.493
1981-12-31,198.986
1982-01-29,197.040
1982-02-26,183.921
1982-03-31,174.436
1982-04-30,185.156
1982-05-31,182.166
1982-06-30,167.972
1982-07-30,165.481
1982-08-31,165.043
1982-09-30,163.468
1982-10-29,163.652
1982-11-30,176.155
1982-12-31,189.778
1983-01-31,187.650
1983-02-28,192.349
1983-03-31,199.335
1983-04-29,210.220
1983-05-31,208.692
1983-06-30,212.964
1983-07-29,212.976
1983-08-31,209.109
1983-09-30,216.755
1983-10-31,216.098
1983-11-30,220.760
1983-12-30,229.467
1984-01-31,239.260
1984-02-29,240.952
1984-03-30,263.088
1984-04-30,258.241
1984-05-31,231.543
1984-06-29,230.793
1984-07-31,215.545
1984-08-31,233.356
1984-09-28,230.860
1984-10-31,236.197
1984-11-30,236.656
1984-12-31,240.985
1985-01-31,245.974
1985-02-28,244.103
1985-03-29,262.577
1985-04-30,261.209
1985-05-31,271.831
1985-06-28,278.328
1985-07-31,292.176
1985-08-30,301.036
1985-09-30,318.107
1985-10-31,339.190
1985-11-29,352.533
1985-12-31,368.643
1986-01-31,377.290
1986-02-28,418.452
1986-03-31,476.652
1986-04-30,507.172
1986-05-30,483.954
1986-06-30,516.248
1986-07-31,547.365
1986-08-29,600.592
1986-09-30,593.676
1986-10-31,553.315
1986-11-28,584.556
1986-12-31,614.894
1987-01-30,679.516
1987-02-27,699.189
1987-03-31,755.779
1987-04-30,834.980
1987-05-29,834.239
1987-06-30,806.924
1987-07-31,804.776
1987-08-31,864.374
1987-09-30,850.018
1987-10-30,730.115
1987-11-30,736.457
1987-12-31,757.452
1988-01-29,770.130
1988-02-29,820.635
1988-03-31,870.168
1988-04-29,881.864
1988-05-31,852.686
1988-06-30,829.333
1988-07-29,854.470
1988-08-31,798.042
1988-09-30,832.021
1988-10-31,902.293
1988-11-30,955.061
1988-12-30,959.398
1989-01-31,975.352
1989-02-28,979.409
1989-03-31,959.226
1989-04-28,967.154
1989-05-31,913.599
1989-06-30,897.302
1989-07-31,1008.993
1989-08-31,962.663
1989-09-29,1005.498
1989-10-31,964.105
1989-11-30,1011.550
1989-12-29,1047.862
1990-01-31,1007.801
1990-02-28,936.391
1990-03-30,837.736
1990-04-30,829.999
1990-05-31,923.602
1990-06-29,914.296
1990-07-31,925.963
1990-08-31,834.824
1990-09-28,717.243
1990-10-31,827.711
1990-11-30,777.599
1990-12-31,788.981
1991-01-31,813.173
1991-02-28,899.059
1991-03-29,843.884
1991-04-30,851.008
1991-05-31,858.706
1991-06-28,794.462
1991-07-31,832.296
1991-08-30,814.183
1991-09-30,858.847
1991-10-31,869.773
1991-11-29,827.912
1991-12-31,869.354
1992-01-31,849.522
1992-02-28,817.860
1992-03-31,762.616
1992-04-30,764.947
1992-05-29,814.852
1992-06-30,774.892
1992-07-31,753.705
1992-08-31,799.578
1992-09-30,782.447
1992-10-30,740.167
1992-11-30,745.943
1992-12-31,748.617
1993-01-29,747.347
1993-02-26,768.772
1993-03-31,834.605
1993-04-30,912.588
1993-05-31,930.648
1993-06-30,914.939
1993-07-30,945.803
1993-08-31,995.681
1993-09-30,972.073
1993-10-29,1000.848
1993-11-30,912.190
1993-12-31,976.896
1994-01-31,1058.313
1994-02-28,1054.182
1994-03-31,1007.545
1994-04-29,1049.071
1994-05-31,1041.824
1994-06-30,1055.281
1994-07-29,1064.167
1994-08-31,1088.086
1994-09-30,1052.513
1994-10-31,1086.219
1994-11-30,1032.703
1994-12-30,1037.861
1995-01-31,996.670
1995-02-28,992.450
1995-03-31,1052.885
1995-04-28,1091.011
1995-05-31,1076.535
1995-06-30,1056.166
1995-07-31,1120.421
1995-08-31,1076.245
1995-09-29,1095.800
1995-10-31,1064.883
1995-11-30,1093.062
1995-12-29,1135.634
1996-01-31,1138.866
1996-02-29,1141.228
1996-03-29,1163.955
1996-04-30,1196.301
1996-05-31,1172.771
1996-06-28,1177.854
1996-07-31,1141.883
1996-08-30,1142.827
1996-09-30,1171.647
1996-10-31,1158.107
1996-11-29,1202.613
1996-12-31,1185.565
1997-01-31,1142.577
1997-02-28,1159.752
1997-03-31,1162.395
1997-04-30,1167.028
1997-05-30,1241.389
1997-06-30,1308.282
1997-07-31,1327.923
1997-08-29,1227.213
1997-09-30,1294.420
1997-10-31,1193.348
1997-11-28,1179.628
1997-12-31,1188.389
1998-01-30,1241.202
1998-02-27,1319.254
1998-03-31,1358.274
1998-04-30,1367.394
1998-05-29,1359.139
1998-06-30,1367.805
1998-07-31,1380.061
1998-08-31,1207.454
1998-09-30,1168.772
1998-10-30,1288.929
1998-11-30,1353.320
1998-12-31,1405.039
1999-01-29,1399.240
1999-02-26,1364.234
1999-03-31,1419.509
1999-04-30,1475.356
1999-05-31,1397.722
1999-06-30,1450.558
1999-07-30,1491.966
1999-08-31,1495.705
1999-09-30,1509.055
1999-10-29,1563.883
1999-11-30,1616.563
1999-12-31,1760.040
2000-01-31,1646.621
2000-02-29,1689.342
2000-03-31,1753.162
2000-04-28,1659.279
2000-05-31,1617.129
2000-06-30,1678.614
2000-07-31,1606.613
2000-08-31,1618.942
2000-09-29,1538.506
2000-10-31,1500.600
2000-11-30,1442.758
2000-12-29,1492.407
2001-01-31,1491.296
2001-02-28,1378.196
2001-03-30,1282.987
2001-04-30,1369.472
2001-05-31,1317.205
2001-06-29,1261.495
2001-07-31,1238.007
2001-08-31,1204.491
2001-09-28,1080.954
2001-10-31,1108.338
2001-11-30,1148.353
2001-12-31,1154.959
2002-01-31,1093.113
2002-02-28,1099.391
2002-03-29,1155.599
2002-04-30,1160.737
2002-05-30,1172.368
2002-05-31,1171.510
2002-06-3,1171.797
2002-06-4,1156.899
2002-06-5,1144.690
2002-06-6,1146.777
2002-06-7,1133.821
2002-06-10,1132.996
2002-06-11,1138.429
2002-06-12,1122.224
2002-06-13,1108.631
2002-06-14,1085.859
2002-06-17,1100.548
2002-06-18,1104.228
2002-06-19,1090.682
2002-06-20,1084.909
2002-06-21,1084.864
2002-06-24,1073.768
2002-06-25,1086.017
2002-06-26,1080.617
2002-06-27,1087.535
2002-06-28,1123.006
2002-07-1,1124.578
2002-07-2,1099.626
2002-07-3,1078.264
2002-07-4,1089.634
2002-07-5,1117.231
2002-07-8,1126.418
2002-07-9,1128.112
2002-07-10,1095.621
2002-07-11,1064.458
2002-07-12,1066.889
2002-07-15,1037.206
2002-07-16,1034.912
2002-07-17,1055.126
2002-07-18,1070.895
2002-07-19,1036.324
2002-07-22,994.849
2002-07-23,972.163
2002-07-24,958.691
2002-07-25,984.643
2002-07-26,972.342
2002-07-29,1004.114
2002-07-30,1013.940
2002-07-31,1011.343
2002-08-1,982.465
2002-08-2,982.523
2002-08-5,960.818
2002-08-6,964.901
2002-08-7,971.023
2002-08-8,993.893
2002-08-9,1012.011
2002-08-12,998.069
2002-08-13,1004.409
2002-08-14,997.219
2002-08-15,1015.265
2002-08-16,1021.275
2002-08-19,1029.736
2002-08-20,1018.784
2002-08-21,1029.761
2002-08-22,1039.839
2002-08-23,1031.249
2002-08-26,1029.656
2002-08-27,1046.279
2002-08-28,1016.342
2002-08-29,1002.992
2002-08-30,1006.554
2002-09-2,994.922
2002-09-3,970.321
2002-09-4,964.948
2002-09-5,963.904
2002-09-6,976.860
2002-09-9,968.886
2002-09-10,980.577
2002-09-11,992.545
2002-09-12,972.674
2002-09-13,956.314
2002-09-16,948.340
2002-09-17,946.454
2002-09-18,927.929
2002-09-19,924.148
2002-09-20,917.252
2002-09-23,895.112
2002-09-24,881.445
2002-09-25,885.832
2002-09-26,915.956
2002-09-27,920.324
2002-09-30,897.046
2002-10-1,898.320
2002-10-2,912.860
2002-10-3,903.711
2002-10-4,889.471
2002-10-7,872.154
2002-10-8,860.674
2002-10-9,857.433
2002-10-10,867.311
