Date,EWC
1969-12-31,100.000
1970-01-30,102.195
1970-02-27,106.475
1970-03-31,107.304
1970-04-30,94.786
1970-05-29,85.524
1970-06-30,89.558
1970-07-31,95.705
1970-08-31,99.774
1970-09-30,106.006
1970-10-30,104.251
1970-11-30,108.918
1970-12-31,111.571
1971-01-29,114.963
1971-02-26,114.483
1971-03-31,119.253
1971-04-30,118.655
1971-05-31,115.137
1971-06-30,114.167
1971-07-30,114.114
1971-08-31,118.350
1971-09-30,117.027
1971-10-29,111.116
1971-11-30,110.504
1971-12-31,122.988
1972-01-31,128.424
1972-02-29,132.477
1972-03-31,132.462
1972-04-28,132.848
1972-05-31,139.779
1972-06-30,142.300
1972-07-31,141.562
1972-08-31,151.026
1972-09-29,149.878
1972-10-31,146.480
1972-11-30,153.045
1972-12-29,159.023
1973-01-31,158.436
1973-02-28,154.759
1973-03-30,154.792
1973-04-30,147.843
1973-05-31,141.767
1973-06-29,144.386
1973-07-31,152.071
1973-08-31,151.361
1973-09-28,156.081
1973-10-31,167.300
1973-11-30,150.805
1973-12-31,149.275
1974-01-31,153.615
1974-02-28,159.190
1974-03-29,155.099
1974-04-30,143.675
1974-05-31,132.153
1974-06-28,127.192
1974-07-31,128.857
1974-08-30,115.787
1974-09-30,103.589
1974-10-31,114.502
1974-11-29,104.242
1974-12-31,104.553
1975-01-31,120.451
1975-02-28,123.350
1975-03-31,119.450
1975-04-30,120.878
1975-05-30,123.042
1975-06-30,125.757
1975-07-31,124.352
1975-08-29,122.904
1975-09-30,116.533
1975-10-31,111.106
1975-11-28,119.673
1975-12-31,115.201
1976-01-30,127.327
1976-02-27,133.834
1976-03-31,131.774
1976-04-30,133.728
1976-05-31,134.265
1976-06-30,133.077
1976-07-30,130.845
1976-08-31,129.334
1976-09-30,127.428
1976-10-29,122.444
1976-11-30,106.798
1976-12-31,121.217
1977-01-31,117.276
1977-02-28,115.962
1977-03-31,116.498
1977-04-29,113.510
1977-05-31,111.104
1977-06-30,115.400
1977-07-29,114.587
1977-08-31,109.458
1977-09-30,109.623
1977-10-31,101.747
1977-11-30,107.347
1977-12-30,113.323
1978-01-31,104.719
1978-02-28,104.103
1978-03-31,108.433
1978-04-28,110.099
1978-05-31,115.960
1978-06-30,114.896
1978-07-31,120.936
1978-08-31,122.955
1978-09-29,126.939
1978-10-31,120.803
1978-11-30,127.416
1978-12-29,130.610
1979-01-31,133.247
1979-02-28,135.999
1979-03-30,149.307
1979-04-30,152.992
1979-05-31,156.601
1979-06-29,167.037
1979-07-31,158.670
1979-08-31,174.330
1979-09-28,185.138
1979-10-31,165.496
1979-11-30,179.720
1979-12-31,190.852
1980-01-31,218.189
1980-02-29,246.706
1980-03-31,191.668
1980-04-30,197.489
1980-05-30,214.031
1980-06-30,228.988
1980-07-31,237.757
1980-08-29,241.054
1980-09-30,238.948
1980-10-31,231.336
1980-11-28,239.989
1980-12-31,225.440
1981-01-30,222.758
1981-02-27,217.150
1981-03-31,233.191
1981-04-30,227.649
1981-05-29,235.181
1981-06-30,234.547
1981-07-31,218.115
1981-08-31,217.959
1981-09-30,185.626
1981-10-30,180.375
1981-11-30,203.545
1981-12-31,193.002
1982-01-29,175.462
1982-02-26,161.300
1982-03-31,151.071
1982-04-30,149.255
1982-05-31,145.667
1982-06-30,125.444
1982-07-30,133.092
1982-08-31,156.389
1982-09-30,153.875
1982-10-29,170.830
1982-11-30,172.842
1982-12-31,188.016
1983-01-31,193.322
1983-02-28,199.882
1983-03-31,204.392
1983-04-29,225.188
1983-05-31,230.197
1983-06-30,234.577
1983-07-29,235.343
1983-08-31,235.966
1983-09-30,238.700
1983-10-31,224.291
1983-11-30,243.343
1983-12-30,242.770
1984-01-31,230.606
1984-02-29,227.640
1984-03-30,220.221
1984-04-30,213.884
1984-05-31,204.154
1984-06-29,199.752
1984-07-31,193.265
1984-08-31,220.920
1984-09-28,218.323
1984-10-31,213.823
1984-11-30,213.421
1984-12-31,216.326
1985-01-31,233.048
1985-02-28,222.776
1985-03-29,227.926
1985-04-30,228.580
1985-05-31,235.202
1985-06-28,233.265
1985-07-31,243.771
1985-08-30,240.532
1985-09-30,224.844
1985-10-31,228.286
1985-11-29,242.495
1985-12-31,242.813
1986-01-31,231.726
1986-02-28,233.920
1986-03-31,254.316
1986-04-30,258.439
1986-05-30,261.134
1986-06-30,255.543
1986-07-31,243.095
1986-08-29,252.464
1986-09-30,250.071
1986-10-31,254.916
1986-11-28,256.997
1986-12-31,260.865
1987-01-30,297.091
1987-02-27,310.870
1987-03-31,339.476
1987-04-30,330.078
1987-05-29,327.856
1987-06-30,337.389
1987-07-31,365.350
1987-08-31,364.689
