Date,EWJ
1969-12-31,100.000
1970-01-30,98.135
1970-02-27,99.057
1970-03-31,102.793
1970-04-30,90.061
1970-05-29,87.377
1970-06-30,88.687
1970-07-31,88.586
1970-08-31,87.343
1970-09-30,86.037
1970-10-30,86.845
1970-11-30,84.039
1970-12-31,84.422
1971-01-29,88.749
1971-02-26,92.537
1971-03-31,99.890
1971-04-30,104.778
1971-05-31,103.750
1971-06-30,113.393
1971-07-30,113.646
1971-08-31,105.824
1971-09-30,109.023
1971-10-29,104.432
1971-11-30,111.398
1971-12-31,125.416
1972-01-31,135.098
1972-02-29,147.084
1972-03-31,154.375
1972-04-28,162.135
1972-05-31,175.510
1972-06-30,182.196
1972-07-31,197.434
1972-08-31,201.994
1972-09-29,210.842
1972-10-31,217.308
1972-11-30,255.671
1972-12-29,277.376
1973-01-31,281.705
1973-02-28,305.088
1973-03-30,305.443
1973-04-30,271.227
1973-05-31,277.834
1973-06-29,282.356
1973-07-31,299.083
1973-08-31,284.534
1973-09-28,268.810
1973-10-31,267.037
1973-11-30,229.948
1973-12-31,216.875
1974-01-31,215.756
1974-02-28,223.683
1974-03-29,227.060
1974-04-30,230.050
1974-05-31,237.968
1974-06-28,229.203
1974-07-31,206.064
1974-08-30,183.031
1974-09-30,184.666
1974-10-31,168.931
1974-11-29,186.102
1974-12-31,178.192
1975-01-31,186.817
1975-02-28,213.682
1975-03-31,218.630
1975-04-30,218.804
1975-05-30,217.357
1975-06-30,219.390
1975-07-31,207.773
1975-08-29,198.187
1975-09-30,185.285
1975-10-31,204.882
1975-11-28,206.265
1975-12-31,208.215
1976-01-30,220.650
1976-02-27,221.811
1976-03-31,221.347
1976-04-30,222.390
1976-05-31,223.234
1976-06-30,234.025
1976-07-30,229.300
1976-08-31,236.942
1976-09-30,237.819
1976-10-29,224.970
1976-11-30,222.072
1976-12-31,255.495
1977-01-31,247.449
1977-02-28,259.725
1977-03-31,256.790
1977-04-29,261.114
1977-05-31,259.048
1977-06-30,268.829
1977-07-29,265.191
1977-08-31,278.765
1977-09-30,282.284
1977-10-31,287.333
1977-11-30,287.675
1977-12-30,289.226
1978-01-31,300.911
1978-02-28,311.830
1978-03-31,351.650
1978-04-28,348.866
1978-05-31,351.538
1978-06-30,383.978
1978-07-31,423.365
1978-08-31,416.417
1978-09-29,425.008
1978-10-31,457.333
1978-11-30,414.553
1978-12-29,434.091
1979-01-31,432.011
1979-02-28,414.777
1979-03-30,399.437
1979-04-30,386.488
1979-05-31,391.781
1979-06-29,393.798
1979-07-31,392.088
1979-08-31,392.988
1979-09-28,399.894
1979-10-31,368.349
1979-11-30,353.066
1979-12-31,374.827
1980-01-31,381.740
1980-02-29,366.326
1980-03-31,355.490
1980-04-30,383.902
1980-05-30,406.148
1980-06-30,421.384
1980-07-31,399.883
1980-08-29,425.852
1980-09-30,453.223
1980-10-31,463.600
1980-11-28,448.073
1980-12-31,478.795
1981-01-30,487.507
1981-02-27,479.819
1981-03-31,507.810
1981-04-30,544.070
1981-05-29,529.408
1981-06-30,547.406
1981-07-31,526.613
1981-08-31,546.365
1981-09-30,494.070
1981-10-30,492.921
1981-11-30,537.083
1981-12-31,545.076
1982-01-29,535.258
1982-02-26,491.976
1982-03-31,444.079
1982-04-30,482.948
1982-05-31,463.812
1982-06-30,435.255
1982-07-30,418.463
1982-08-31,420.247
1982-09-30,403.606
1982-10-29,404.572
1982-11-30,478.909
1982-12-31,532.645
1983-01-31,509.947
1983-02-28,517.701
1983-03-31,537.813
1983-04-29,548.556
1983-05-31,549.162
1983-06-30,565.972
1983-07-29,569.994
1983-08-31,562.323
1983-09-30,606.039
1983-10-31,602.409
1983-11-30,609.169
1983-12-30,655.431
1984-01-31,685.438
1984-02-29,682.715
1984-03-30,805.204
1984-04-30,786.951
1984-05-31,689.535
1984-06-29,692.092
1984-07-31,642.573
1984-08-31,697.010
1984-09-28,693.370
1984-10-31,726.904
1984-11-30,731.173
1984-12-31,758.510
1985-01-31,754.042
1985-02-28,778.087
1985-03-29,821.808
1985-04-30,793.077
1985-05-31,820.087
1985-06-28,856.433
1985-07-31,860.062
