Date,EWT
1987-12-31,100.000
1988-01-29,120.368
1988-02-29,146.789
1988-03-31,140.060
1988-04-29,171.287
1988-05-31,185.876
1988-06-30,198.565
1988-07-29,257.247
1988-08-31,319.710
1988-09-30,350.794
1988-10-31,266.370
1988-11-30,286.075
1988-12-30,217.249
1989-01-31,257.584
1989-02-28,292.586
1989-03-31,307.426
1989-04-28,341.805
1989-05-31,424.539
1989-06-30,410.809
1989-07-31,400.640
1989-08-31,415.602
1989-09-29,435.174
1989-10-31,427.719
1989-11-30,377.733
1989-12-29,398.727
1990-01-31,521.500
1990-02-28,489.796
1990-03-30,427.930
1990-04-30,378.117
1990-05-31,295.042
1990-06-29,217.974
1990-07-31,228.106
1990-08-31,151.312
1990-09-28,114.671
1990-10-31,138.708
1990-11-30,173.432
1990-12-31,177.656
1991-01-31,158.149
1991-02-28,199.185
1991-03-29,206.782
1991-04-30,242.496
1991-05-31,231.084
1991-06-28,241.867
1991-07-31,210.856
1991-08-30,188.585
1991-09-30,205.879
1991-10-31,190.036
1991-11-29,192.433
1991-12-31,198.626
1992-01-31,237.011
1992-02-28,219.451
1992-03-31,207.699
1992-04-30,197.252
1992-05-29,198.501
1992-06-30,199.100
1992-07-31,180.508
1992-08-31,169.651
1992-09-30,159.071
1992-10-30,161.650
1992-11-30,163.897
1992-12-31,149.702
1993-01-29,145.676
1993-02-26,192.245
1993-03-31,207.848
1993-04-30,197.592
1993-05-31,182.694
1993-06-30,169.574
1993-07-30,165.951
1993-08-31,162.512
1993-09-30,159.856
1993-10-29,171.047
1993-11-30,186.387
1993-12-31,272.938
1994-01-31,273.415
1994-02-28,239.523
1994-03-31,234.114
1994-04-29,255.903
1994-05-31,257.303
1994-06-30,262.321
1994-07-29,300.520
1994-08-31,313.537
1994-09-30,323.540
1994-10-31,298.182
1994-11-30,289.819
1994-12-30,326.711
1995-01-31,286.639
1995-02-28,295.497
1995-03-31,297.740
1995-04-28,271.850
1995-05-31,264.350
1995-06-30,250.585
1995-07-31,237.135
1995-08-31,214.213
1995-09-29,224.992
1995-10-31,216.003
1995-11-30,211.144
1995-12-29,227.918
1996-01-31,211.559
1996-02-29,215.497
1996-03-29,227.293
1996-04-30,284.089
1996-05-31,274.188
1996-06-28,310.573
1996-07-31,285.526
1996-08-30,297.428
1996-09-30,304.501
1996-10-31,294.877
1996-11-29,311.491
1996-12-31,316.556
1997-01-31,330.094
1997-02-28,350.172
1997-03-31,346.654
1997-04-30,368.712
1997-05-30,353.444
1997-06-30,400.737
1997-07-31,433.838
1997-08-29,415.960
1997-09-30,366.900
1997-10-31,286.667
1997-11-28,289.367
1997-12-31,294.750
1998-01-30,278.355
1998-02-27,337.515
1998-03-31,319.493
1998-04-30,289.383
1998-05-29,261.598
1998-06-30,244.801
1998-07-31,240.483
1998-08-31,199.560
1998-09-30,216.268
1998-10-30,244.053
1998-11-30,259.503
1998-12-31,231.536
1999-01-29,224.694
1999-02-26,235.481
1999-03-31,258.313
1999-04-30,280.854
1999-05-31,269.102
1999-06-30,328.341
1999-07-30,287.744
1999-08-31,323.081
1999-09-30,301.786
1999-10-29,312.119
1999-11-30,315.307
1999-12-31,350.812
2000-01-31,408.171
2000-02-29,390.743
2000-03-31,405.920
2000-04-28,359.496
2000-05-31,366.923
2000-06-30,339.505
2000-07-31,330.697
2000-08-31,309.582
2000-09-29,259.806
2000-10-31,226.119
2000-11-30,208.688
2000-12-29,191.734
2001-01-31,247.776
2001-02-28,229.816
2001-03-30,226.277
2001-04-30,210.301
2001-05-31,195.651
2001-06-29,188.702
2001-07-31,167.975
2001-08-31,173.969
2001-09-28,136.198
2001-10-31,150.612
2001-11-30,171.255
2001-12-31,208.551
2002-01-31,218.291
2002-02-28,207.924
2002-03-29,226.569
2002-04-30,221.544
2002-05-30,217.192
2002-05-31,212.719
2002-06-3,210.456
2002-06-4,207.263
2002-06-5,209.386
2002-06-6,209.032
2002-06-7,201.025
2002-06-10,203.286
2002-06-11,199.818
2002-06-12,198.771
2002-06-13,205.430
2002-06-14,205.541
2002-06-17,204.152
2002-06-18,204.471
2002-06-19,199.404
2002-06-20,201.116
2002-06-21,202.485
2002-06-24,201.270
2002-06-25,198.977
2002-06-26,192.146
2002-06-27,189.836
2002-06-28,194.232
2002-07-1,186.536
2002-07-2,187.407
2002-07-3,188.591
2002-07-4,191.473
2002-07-5,197.218
2002-07-8,203.325
2002-07-9,204.108
2002-07-10,200.489
2002-07-11,197.719
2002-07-12,206.684
2002-07-15,206.013
2002-07-16,203.829
2002-07-17,201.724
2002-07-18,200.017
2002-07-19,196.042
2002-07-22,191.264
2002-07-23,194.934
2002-07-24,188.486
2002-07-25,188.842
2002-07-26,179.976
2002-07-29,177.267
2002-07-30,183.934
2002-07-31,181.279
2002-08-1,180.736
2002-08-2,180.033
2002-08-5,168.468
2002-08-6,165.894
2002-08-7,172.543
2002-08-8,171.344
2002-08-9,177.720
2002-08-12,177.910
2002-08-13,177.016
2002-08-14,179.980
2002-08-15,181.495
2002-08-16,181.100
2002-08-19,179.561
2002-08-20,181.296
2002-08-21,179.359
2002-08-22,181.812
2002-08-23,181.927
2002-08-26,179.639
2002-08-27,176.885
2002-08-28,173.203
2002-08-29,173.860
2002-08-30,172.188
2002-09-2,167.226
2002-09-3,165.374
2002-09-4,163.805
2002-09-5,161.657
2002-09-6,161.609
2002-09-9,164.115
2002-09-10,168.678
2002-09-11,167.844
2002-09-12,167.005
2002-09-13,164.348
2002-09-16,158.040
2002-09-17,164.739
2002-09-18,158.906
2002-09-19,159.376
2002-09-20,155.555
2002-09-23,151.174
2002-09-24,149.601
2002-09-25,146.261
2002-09-26,147.784
2002-09-27,146.852
2002-09-30,146.110
2002-10-1,144.722
2002-10-2,145.008
2002-10-3,140.816
2002-10-4,140.547
2002-10-7,134.753
2002-10-8,136.120
2002-10-9,135.768
2002-10-10,135.768
2002-10-11,132.168
2002-10-14,135.888
2002-10-15,144.111
2002-10-16,148.973
2002-10-17,151.472
2002-10-18,158.109
2002-10-21,157.974
2002-10-22,154.412
2002-10-23,163.183
2002-10-24,162.388
2002-10-25,162.340
2002-10-28,163.066
2002-10-29,162.018
2002-10-30,159.280
2002-10-31,162.183
2002-11-1,158.041
2002-11-4,162.440
2002-11-5,162.379
2002-11-6,168.578
2002-11-7,170.842
2002-11-8,172.925
2002-11-11,167.013
2002-11-12,167.208
2002-11-13,166.517
2002-11-14,165.593
2002-11-15,171.786
2002-11-18,170.794
2002-11-19,168.184
2002-11-20,164.955
2002-11-21,162.980
2002-11-22,168.869
2002-11-25,169.557
2002-11-26,167.618
2002-11-27,165.377
2002-11-28,164.434
2002-11-29,165.601
2002-12-2,167.470
2002-12-3,171.567
2002-12-4,168.940
2002-12-5,169.581
2002-12-6,168.799
2002-12-9,172.513
2002-12-10,168.489
2002-12-11,166.300
2002-12-12,165.161
2002-12-13,162.310
2002-12-16,161.924
2002-12-17,160.554
2002-12-18,159.696
2002-12-19,159.147
2002-12-20,161.751
2002-12-23,160.409
2002-12-24,159.305
2002-12-25,157.649
2002-12-26,160.755
2002-12-27,159.622
2002-12-30,156.049
2002-12-31,155.625
2003-01-1,155.625
2003-01-2,158.077
2003-01-3,162.276
2003-01-6,165.111
2003-01-7,166.385
2003-01-8,170.938
2003-01-9,170.432
2003-01-10,171.816
2003-01-13,177.633
2003-01-14,177.791
2003-01-15,178.320
2003-01-16,174.669
2003-01-17,173.657
2003-01-20,174.352
2003-01-21,172.931
2003-01-22,174.397
2003-01-23,178.076
2003-01-24,177.192
2003-01-27,174.155
2003-01-28,174.746
2003-01-29,174.789
2003-01-30,174.522
2003-01-31,174.522
2003-02-3,174.532
2003-02-4,174.507
2003-02-5,174.507
2003-02-6,166.390
2003-02-7,162.122
2003-02-10,159.294
2003-02-11,159.020
2003-02-12,159.088
2003-02-13,155.223
2003-02-14,154.831
2003-02-17,162.688
2003-02-18,159.527
2003-02-19,157.236
2003-02-20,157.755
2003-02-21,158.152
2003-02-24,160.455
2003-02-25,154.445
2003-02-26,154.083
2003-02-27,153.514
2003-02-28,153.500
2003-03-3,157.159
2003-03-4,156.603
2003-03-5,153.480
2003-03-6,153.036
2003-03-7,152.138
2003-03-10,151.781
2003-03-11,149.497
2003-03-12,151.416
2003-03-13,153.177
2003-03-14,157.317
2003-03-17,153.249
2003-03-18,160.410
2003-03-19,159.553
2003-03-20,162.666
2003-03-21,161.962
2003-03-24,161.397
2003-03-25,158.664
2003-03-26,158.185
2003-03-27,158.676
2003-03-28,157.282
2003-03-31,151.240
2003-04-1,151.911
2003-04-2,151.076
2003-04-3,152.761
2003-04-4,158.449
2003-04-7,161.087
2003-04-8,160.280
2003-04-9,159.304
2003-04-10,159.670
2003-04-11,159.555
2003-04-14,156.361
2003-04-15,157.768
2003-04-16,162.627
2003-04-17,161.141
2003-04-18,164.633
2003-04-21,164.127
2003-04-22,160.421
2003-04-23,161.068
2003-04-24,154.046
2003-04-25,148.241
2003-04-28,144.902
2003-04-29,148.156
2003-04-30,147.044
2003-05-1,147.087
2003-05-2,149.092
2003-05-5,149.614
2003-05-6,149.889
2003-05-7,151.976
2003-05-8,148.914
2003-05-9,150.512
2003-05-12,151.506
2003-05-13,154.454
2003-05-14,154.852
2003-05-15,154.653
2003-05-16,152.620
2003-05-19,151.897
2003-05-20,151.245
2003-05-21,150.135
2003-05-22,151.884
2003-05-23,154.659
2003-05-26,158.581
2003-05-27,157.873
2003-05-28,158.982
2003-05-29,162.390
2003-05-30,162.370
2003-06-2,167.896
2003-06-3,167.279
2003-06-4,167.231
2003-06-5,169.780
2003-06-6,170.107
2003-06-9,173.156
2003-06-10,172.951
2003-06-11,171.359
2003-06-12,174.646
2003-06-13,174.839
2003-06-16,174.945
2003-06-17,178.782
2003-06-18,179.928
2003-06-19,181.308
2003-06-20,179.449
2003-06-23,176.146
2003-06-24,175.676
2003-06-25,176.796
2003-06-26,175.462
2003-06-27,174.675
2003-06-30,173.953
2003-07-1,179.618
2003-07-2,182.977
2003-07-3,183.929
2003-07-4,187.134
2003-07-7,194.656
2003-07-8,196.814
2003-07-9,195.491
2003-07-10,191.770
2003-07-11,190.356
2003-07-14,194.992
2003-07-15,194.049
2003-07-16,196.680
2003-07-17,191.212
2003-07-18,190.376
2003-07-21,187.523
2003-07-22,189.118
2003-07-23,191.016
2003-07-24,196.301
2003-07-25,195.566
2003-07-28,197.607
2003-07-29,193.801
2003-07-30,193.252
2003-07-31,193.871
2003-08-1,196.369
2003-08-4,195.958
2003-08-5,190.725
2003-08-6,189.476
2003-08-7,190.435
2003-08-8,189.341
2003-08-11,189.244
2003-08-12,190.602
2003-08-13,198.558
2003-08-14,199.010
2003-08-15,201.017
2003-08-18,202.058
2003-08-19,201.825
2003-08-20,203.938
2003-08-21,207.380
2003-08-22,208.900
2003-08-25,211.027
2003-08-26,205.429
2003-08-27,205.387
2003-08-28,204.553
2003-08-29,210.237
2003-09-1,212.286
2003-09-2,213.624
2003-09-3,212.011
2003-09-4,210.309
2003-09-5,211.241
2003-09-8,216.184
2003-09-9,214.820
2003-09-10,213.074
2003-09-11,213.293
2003-09-12,213.233
2003-09-15,211.343
2003-09-16,214.452
2003-09-17,216.549
2003-09-18,216.281
2003-09-19,216.035
2003-09-22,213.992
2003-09-23,214.577
2003-09-24,215.745
2003-09-25,214.122
2003-09-26,212.572
2003-09-29,212.613
2003-09-30,211.451
2003-10-1,210.174
2003-10-2,215.953
2003-10-3,217.557
2003-10-6,221.398
2003-10-7,221.728
2003-10-8,219.973
2003-10-9,221.653
2003-10-10,222.048
2003-10-13,225.997
2003-10-14,223.486
2003-10-15,222.865
2003-10-16,228.122
2003-10-17,227.497
2003-10-20,228.719
2003-10-21,227.216
2003-10-22,226.006
2003-10-23,222.472
2003-10-24,220.577
2003-10-27,222.217
2003-10-28,228.125
2003-10-29,229.104
2003-10-30,229.505
2003-10-31,225.960
2003-11-3,227.069
2003-11-4,228.542
2003-11-5,229.925
2003-11-6,225.361
2003-11-7,227.152
2003-11-10,226.437
2003-11-11,223.765
2003-11-12,222.298
2003-11-13,225.026
2003-11-14,225.071
2003-11-17,221.177
2003-11-18,220.629
2003-11-19,218.004
2003-11-20,216.230
2003-11-21,216.004
2003-11-24,215.393
2003-11-25,217.644
2003-11-26,216.980
2003-11-27,211.081
2003-11-28,212.738
2003-12-1,216.737
2003-12-2,218.636
2003-12-3,217.574
2003-12-4,219.346
2003-12-5,218.458
2003-12-8,216.338
2003-12-9,217.467
2003-12-10,214.706
2003-12-11,217.071
2003-12-12,216.589
2003-12-15,219.512
2003-12-16,217.665
2003-12-17,212.655
2003-12-18,212.795
2003-12-19,212.221
2003-12-22,215.741
2003-12-23,215.986
2003-12-24,216.217
2003-12-25,216.187
2003-12-26,215.963
2003-12-29,213.962
2003-12-30,216.511
2003-12-31,217.895
2004-01-1,217.895
2004-01-2,223.747
2004-01-5,227.498
2004-01-6,228.804
2004-01-7,228.342
2004-01-8,229.564
2004-01-9,232.555
2004-01-12,232.987
2004-01-13,232.607
2004-01-14,234.543
2004-01-15,233.299
2004-01-16,233.136
2004-01-19,233.343
2004-01-20,232.963
2004-01-21,233.482
2004-01-22,233.760
2004-01-23,233.760
2004-01-26,232.997
2004-01-27,238.396
2004-01-28,238.922
2004-01-29,235.984
2004-01-30,236.978
2004-02-2,233.888
2004-02-3,231.340
2004-02-4,230.857
2004-02-5,231.131
2004-02-6,233.523
2004-02-9,238.273
2004-02-10,238.379
2004-02-11,237.664
2004-02-12,238.540
2004-02-13,242.453
2004-02-16,241.890
2004-02-17,242.636
2004-02-18,243.855
2004-02-19,246.802
2004-02-20,245.919
2004-02-23,244.072
2004-02-24,240.650
2004-02-25,242.805
2004-02-26,245.684
2004-02-27,246.334
2004-03-1,252.980
2004-03-2,257.201
2004-03-3,254.858
2004-03-4,257.833
2004-03-5,254.814
2004-03-8,252.082
2004-03-9,254.711
2004-03-10,248.989
2004-03-11,250.002
2004-03-12,244.813
2004-03-15,239.165
2004-03-16,238.533
2004-03-17,239.179
2004-03-18,247.704
2004-03-19,248.446
2004-03-22,232.008
2004-03-23,224.542
2004-03-24,228.750
2004-03-25,226.377
2004-03-26,225.862
2004-03-29,239.580
2004-03-30,238.526
2004-03-31,240.024
2004-04-1,240.672
2004-04-2,240.456
2004-04-5,246.459
2004-04-6,244.949
2004-04-7,245.400
2004-04-8,246.251
2004-04-9,243.835
2004-04-12,249.734
2004-04-13,251.307
2004-04-14,254.423
2004-04-15,247.824
2004-04-16,249.706
2004-04-19,250.062
2004-04-20,250.671
2004-04-21,250.216
2004-04-22,247.826
2004-04-23,249.114
2004-04-26,248.428
2004-04-27,246.445
2004-04-28,243.174
2004-04-29,234.953
2004-04-30,223.910
2004-05-3,221.604
2004-05-4,227.669
2004-05-5,215.710
2004-05-6,217.902
2004-05-7,221.816
2004-05-10,210.761
2004-05-11,214.174
2004-05-12,217.405
2004-05-13,215.649
2004-05-14,209.817
2004-05-17,198.233
