Date,EWU
1969-12-31,100.000
1970-01-30,99.069
1970-02-27,93.564
1970-03-31,95.651
1970-04-30,85.666
1970-05-29,81.149
1970-06-30,84.601
1970-07-31,87.533
1970-08-31,87.108
1970-09-30,91.989
1970-10-30,91.557
1970-11-30,85.076
1970-12-31,90.171
1971-01-29,90.221
1971-02-26,88.342
1971-03-31,95.724
1971-04-30,106.114
1971-05-31,109.808
1971-06-30,111.481
1971-07-30,118.750
1971-08-31,120.159
1971-09-30,120.061
1971-10-29,116.730
1971-11-30,119.552
1971-12-31,128.619
1972-01-31,135.480
1972-02-29,143.528
1972-03-31,143.712
1972-04-28,148.028
1972-05-31,144.880
1972-06-30,131.316
1972-07-31,138.483
1972-08-31,139.106
1972-09-29,123.612
1972-10-31,123.038
1972-11-30,131.483
1972-12-29,129.341
1973-01-31,120.854
1973-02-28,122.285
1973-03-30,121.904
1973-04-30,123.092
1973-05-31,126.683
1973-06-29,125.845
1973-07-31,116.346
1973-08-31,109.663
1973-09-28,111.152
1973-10-31,114.867
1973-11-30,97.521
1973-12-31,91.955
1974-01-31,87.844
1974-02-28,93.710
1974-03-29,78.439
1974-04-30,84.515
1974-05-31,75.688
1974-06-28,68.248
1974-07-31,63.660
1974-08-30,54.142
1974-09-30,47.549
1974-10-31,49.067
1974-11-29,41.304
1974-12-31,42.003
1975-01-31,65.301
1975-02-28,82.471
1975-03-31,75.356
1975-04-30,86.768
1975-05-30,89.397
1975-06-30,75.185
1975-07-31,71.519
1975-08-29,80.566
1975-09-30,79.220
1975-10-31,83.610
1975-11-28,81.833
1975-12-31,85.457
1976-01-30,93.602
1976-02-27,90.312
1976-03-31,84.654
1976-04-30,84.465
1976-05-31,75.424
1976-06-30,75.292
1976-07-30,72.612
1976-08-31,68.790
1976-09-30,60.712
1976-10-29,52.529
1976-11-30,57.736
1976-12-31,70.458
1977-01-31,76.954
1977-02-28,78.557
1977-03-31,80.906
1977-04-29,83.424
1977-05-31,85.301
1977-06-30,87.698
1977-07-29,86.093
1977-08-31,96.075
1977-09-30,103.849
1977-10-31,105.307
1977-11-30,99.496
1977-12-30,105.828
1978-01-31,102.691
1978-02-28,96.810
1978-03-31,99.090
1978-04-28,98.575
1978-05-31,102.385
1978-06-30,100.889
1978-07-31,110.979
1978-08-31,113.697
1978-09-29,114.853
1978-10-31,117.646
1978-11-30,111.674
1978-12-29,114.886
1979-01-31,113.849
1979-02-28,123.272
1979-03-30,141.628
1979-04-30,148.204
1979-05-31,137.418
1979-06-29,137.660
1979-07-31,138.439
1979-08-31,141.475
1979-09-28,143.617
1979-10-31,128.285
1979-11-30,133.425
1979-12-31,132.758
1980-01-31,146.466
1980-02-29,154.387
1980-03-31,133.376
1980-04-30,143.574
1980-05-30,144.260
1980-06-30,161.866
1980-07-31,166.736
1980-08-29,170.108
1980-09-30,174.325
1980-10-31,188.884
1980-11-28,184.738
1980-12-31,175.724
1981-01-30,173.998
1981-02-27,167.736
1981-03-31,169.407
1981-04-30,173.091
1981-05-29,158.601
1981-06-30,151.535
1981-07-31,145.580
1981-08-31,151.433
1981-09-30,123.738
1981-10-30,130.144
1981-11-30,154.670
1981-12-31,147.732
1982-01-29,154.174
1982-02-26,142.404
1982-03-31,144.156
1982-04-30,147.100
1982-05-31,151.295
1982-06-30,141.074
1982-07-30,145.488
1982-08-31,147.129
1982-09-30,153.454
1982-10-29,155.657
1982-11-30,150.507
1982-12-31,152.316
1983-01-31,149.448
1983-02-28,149.689
1983-03-31,151.208
1983-04-29,171.969
1983-05-31,176.429
1983-06-30,177.248
1983-07-29,170.250
1983-08-31,168.107
1983-09-30,167.261
1983-10-31,163.825
1983-11-30,170.540
1983-12-30,170.253
1984-01-31,176.366
1984-02-29,182.801
1984-03-30,189.088
1984-04-30,187.292
1984-05-31,167.211
1984-06-29,167.632
1984-07-31,156.955
1984-08-31,172.123
1984-09-28,168.434
1984-10-31,166.893
1984-11-30,169.740
1984-12-31,171.324
1985-01-31,174.448
1985-02-28,164.631
1985-03-29,190.173
1985-04-30,194.143
1985-05-31,203.266
1985-06-28,195.743
1985-07-31,219.257
1985-08-30,230.143
1985-09-30,221.205
1985-10-31,244.161
1985-11-29,262.238
1985-12-31,250.668
1986-01-31,249.974
1986-02-28,278.855
1986-03-31,302.924
1986-04-30,319.708
1986-05-30,292.510
1986-06-30,314.906
1986-07-31,286.714
1986-08-29,303.639
1986-09-30,277.053
1986-10-31,281.721
1986-11-28,291.202
1986-12-31,305.674
1987-01-30,339.659
1987-02-27,380.003
1987-03-31,398.275
1987-04-30,423.995
1987-05-29,447.130
1987-06-30,461.624
1987-07-31,470.317
1987-08-31,459.709
1987-09-30,482.381
1987-10-30,377.527
1987-11-30,359.458
1987-12-31,402.136
1988-01-29,398.474
1988-02-29,395.961
1988-03-31,413.754
1988-04-29,423.636
1988-05-31,410.275
1988-06-30,395.771
1988-07-29,398.499
1988-08-31,370.495
1988-09-30,387.466
1988-10-31,416.989
1988-11-30,420.260
1988-12-30,411.476
1989-01-31,456.807
1989-02-28,443.700
1989-03-31,445.265
1989-04-28,450.279
1989-05-31,417.716
1989-06-30,419.916
1989-07-31,482.056
1989-08-31,469.574
1989-09-29,465.712
1989-10-31,420.323
1989-11-30,441.428
1989-12-29,484.623
1990-01-31,486.428
1990-02-28,471.719
1990-03-30,456.670
1990-04-30,425.925
1990-05-31,487.857
1990-06-29,515.282
1990-07-31,535.796
1990-08-31,505.541
1990-09-28,458.908
1990-10-31,494.176
1990-11-30,519.262
1990-12-31,513.634
1991-01-31,531.263
1991-02-28,572.559
1991-03-29,540.852
1991-04-30,532.178
1991-05-31,534.062
1991-06-28,487.445
1991-07-31,542.799
1991-08-30,555.086
1991-09-30,574.373
1991-10-31,558.116
1991-11-29,530.030
1991-12-31,573.470
1992-01-31,565.945
1992-02-28,557.849
1992-03-31,524.534
1992-04-30,585.515
1992-05-29,617.116
1992-06-30,591.868
1992-07-31,567.761
1992-08-31,564.425
1992-09-30,552.545
1992-10-30,506.888
1992-11-30,511.832
1992-12-31,531.980
1993-01-29,518.920
1993-02-26,504.888
1993-03-31,540.435
1993-04-30,554.887
1993-05-31,557.369
1993-06-30,550.126
1993-07-30,547.090
1993-08-31,584.077
1993-09-30,575.896
1993-10-29,597.009
1993-11-30,598.197
1993-12-31,641.457
1994-01-31,668.722
1994-02-28,634.134
1994-03-31,590.141
1994-04-29,610.010
1994-05-31,576.518
1994-06-30,576.880
1994-07-29,606.253
1994-08-31,639.305
1994-09-30,608.078
1994-10-31,641.676
1994-11-30,612.096
1994-12-30,611.077
1995-01-31,600.047
1995-02-28,601.719
1995-03-31,645.213
1995-04-28,652.406
1995-05-31,665.723
1995-06-30,664.576
1995-07-31,699.821
1995-08-31,681.440
1995-09-29,700.138
1995-10-31,697.473
1995-11-30,699.794
1995-12-29,716.422
1996-01-31,713.475
1996-02-29,717.361
1996-03-29,711.453
1996-04-30,723.375
1996-05-31,729.808
1996-06-28,723.493
1996-07-31,726.459
1996-08-30,761.965
1996-09-30,777.474
1996-10-31,812.136
1996-11-29,856.139
1996-12-31,883.481
1997-01-31,855.345
1997-02-28,879.880
1997-03-31,886.885
1997-04-30,900.932
1997-05-30,939.797
1997-06-30,950.501
1997-07-31,992.627
1997-08-29,974.043
1997-09-30,1056.167
1997-10-31,1013.642
1997-11-28,1016.160
1997-12-31,1052.094
1998-01-30,1100.801
1998-02-27,1174.678
1998-03-31,1234.218
1998-04-30,1234.391
1998-05-29,1186.358
1998-06-30,1202.183
1998-07-31,1175.714
1998-08-31,1088.057
1998-09-30,1063.405
1998-10-30,1125.771
1998-11-30,1173.638
1998-12-31,1208.247
1999-01-29,1193.304
1999-02-26,1217.357
1999-03-31,1252.854
1999-04-30,1298.891
1999-05-31,1224.521
1999-06-30,1225.235
1999-07-30,1241.219
1999-08-31,1233.834
1999-09-30,1211.233
1999-10-29,1243.971
1999-11-30,1256.717
1999-12-31,1325.936
2000-01-31,1201.987
2000-02-29,1161.518
2000-03-31,1244.589
2000-04-28,1190.260
2000-05-31,1147.787
2000-06-30,1156.186
2000-07-31,1161.991
2000-08-31,1172.282
2000-09-29,1138.092
2000-10-31,1144.105
2000-11-30,1074.827
2000-12-29,1146.254
2001-01-31,1127.011
2001-02-28,1048.937
2001-03-30,996.825
2001-04-30,1057.953
2001-05-31,1020.717
2001-06-29,984.624
2001-07-31,985.172
2001-08-31,971.065
2001-09-28,905.378
2001-10-31,921.979
2001-11-30,940.168
2001-12-31,962.025
2002-01-31,920.997
2002-02-28,912.691
2002-03-29,949.980
2002-04-30,951.542
2002-05-30,926.976
2002-05-31,933.780
2002-06-3,932.791
2002-06-4,933.844
2002-06-5,911.305
2002-06-6,907.907
2002-06-7,902.607
2002-06-10,905.170
2002-06-11,909.553
2002-06-12,897.325
2002-06-13,884.140
2002-06-14,860.602
2002-06-17,884.340
2002-06-18,880.164
2002-06-19,872.000
2002-06-20,863.983
2002-06-21,868.832
2002-06-24,859.641
2002-06-25,874.107
2002-06-26,870.417
2002-06-27,870.830
2002-06-28,892.719
2002-07-1,900.968
2002-07-2,875.092
2002-07-3,842.363
2002-07-4,856.077
2002-07-5,880.842
2002-07-8,886.149
2002-07-9,881.168
2002-07-10,855.970
2002-07-11,820.960
2002-07-12,820.581
2002-07-15,783.680
2002-07-16,791.869
2002-07-17,822.461
2002-07-18,844.726
2002-07-19,809.932
2002-07-22,768.327
2002-07-23,755.952
2002-07-24,745.319
2002-07-25,782.969
2002-07-26,787.913
2002-07-29,820.622
2002-07-30,823.677
2002-07-31,831.275
2002-08-1,789.454
2002-08-2,802.658
2002-08-5,786.234
2002-08-6,796.566
2002-08-7,787.389
2002-08-8,812.958
2002-08-9,825.421
2002-08-12,809.753
2002-08-13,819.522
2002-08-14,807.308
2002-08-15,831.509
2002-08-16,834.627
2002-08-19,847.426
2002-08-20,834.733
2002-08-21,836.780
2002-08-22,846.239
2002-08-23,836.538
2002-08-26,838.078
2002-08-27,852.565
2002-08-28,822.840
2002-08-29,816.322
2002-08-30,817.629
2002-09-2,811.348
2002-09-3,789.331
2002-09-4,788.639
2002-09-5,786.488
2002-09-6,801.805
2002-09-9,792.116
2002-09-10,810.716
2002-09-11,814.437
2002-09-12,794.200
2002-09-13,782.637
2002-09-16,781.323
2002-09-17,772.236
2002-09-18,748.903
2002-09-19,741.055
2002-09-20,750.247
2002-09-23,729.712
2002-09-24,714.465
2002-09-25,721.214
2002-09-26,749.547
2002-09-27,757.803
2002-09-30,731.570
2002-10-1,744.086
2002-10-2,762.250
2002-10-3,759.377
2002-10-4,745.361
2002-10-7,738.275
2002-10-8,723.643
2002-10-9,726.941
2002-10-10,735.064
2002-10-11,768.313
2002-10-14,763.089
2002-10-15,799.926
2002-10-16,785.213
2002-10-17,805.307
2002-10-18,796.677
2002-10-21,795.885
2002-10-22,793.267
2002-10-23,772.928
2002-10-24,790.445
2002-10-25,784.776
2002-10-28,792.106
2002-10-29,764.851
2002-10-30,776.694
2002-10-31,787.769
2002-11-1,779.101
2002-11-4,801.241
2002-11-5,805.602
2002-11-6,796.085
2002-11-7,801.847
2002-11-8,797.905
2002-11-11,793.666
2002-11-12,806.966
2002-11-13,795.591
2002-11-14,796.449
2002-11-15,803.534
2002-11-18,809.910
2002-11-19,810.238
2002-11-20,802.969
2002-11-21,823.140
2002-11-22,821.858
2002-11-25,804.011
2002-11-26,791.984
2002-11-27,797.793
2002-11-28,811.252
2002-11-29,809.494
2002-12-2,806.292
2002-12-3,797.132
2002-12-4,793.629
2002-12-5,790.188
2002-12-6,788.646
2002-12-9,774.108
2002-12-10,770.286
2002-12-11,781.921
2002-12-12,774.737
2002-12-13,769.685
2002-12-16,789.524
2002-12-17,779.271
2002-12-18,766.288
2002-12-19,767.491
2002-12-20,777.591
2002-12-23,781.298
2002-12-24,784.278
2002-12-25,784.278
2002-12-26,784.131
2002-12-27,764.907
2002-12-30,780.072
2002-12-31,791.076
2003-01-1,791.076
2003-01-2,797.813
2003-01-3,800.175
2003-01-6,803.966
2003-01-7,793.625
2003-01-8,783.566
2003-01-9,789.255
2003-01-10,798.244
2003-01-13,792.042
2003-01-14,793.344
2003-01-15,779.750
2003-01-16,779.596
2003-01-17,772.871
2003-01-20,760.017
2003-01-21,752.112
2003-01-22,742.283
2003-01-23,735.885
2003-01-24,735.892
2003-01-27,711.505
2003-01-28,716.291
2003-01-29,718.871
2003-01-30,737.556
2003-01-31,734.775
2003-02-3,756.252
2003-02-4,739.922
2003-02-5,756.820
2003-02-6,737.688
2003-02-7,734.229
2003-02-10,729.434
2003-02-11,742.009
2003-02-12,730.818
2003-02-13,731.746
2003-02-14,728.121
2003-02-17,738.210
2003-02-18,741.799
2003-02-19,729.364
2003-02-20,734.610
2003-02-21,741.269
2003-02-24,733.381
2003-02-25,711.758
2003-02-26,710.162
2003-02-27,703.829
2003-02-28,719.016
2003-03-3,727.391
2003-03-4,716.215
2003-03-5,712.326
2003-03-6,711.717
2003-03-7,700.031
2003-03-10,686.563
2003-03-11,692.201
2003-03-12,662.643
2003-03-13,698.403
2003-03-14,712.286
2003-03-17,731.585
2003-03-18,731.205
2003-03-19,734.339
2003-03-20,735.419
2003-03-21,752.406
2003-03-24,736.107
2003-03-25,737.568
2003-03-26,744.360
2003-03-27,730.656
2003-03-28,725.589
2003-03-31,712.969
2003-04-1,723.365
2003-04-2,734.331
2003-04-3,738.204
2003-04-4,742.876
2003-04-7,760.631
2003-04-8,748.006
2003-04-9,748.835
2003-04-10,745.983
2003-04-11,745.874
2003-04-14,755.807
2003-04-15,767.294
2003-04-16,758.250
2003-04-17,765.917
2003-04-18,765.917
2003-04-21,758.665
2003-04-22,771.330
2003-04-23,783.676
2003-04-24,777.127
2003-04-25,769.887
2003-04-28,783.353
2003-04-29,780.915
2003-04-30,784.601
2003-05-1,781.486
2003-05-2,792.510
2003-05-5,793.993
2003-05-6,809.526
2003-05-7,795.826
2003-05-8,787.190
2003-05-9,795.435
2003-05-12,803.259
2003-05-13,804.871
2003-05-14,806.395
2003-05-15,816.180
2003-05-16,824.450
2003-05-19,808.725
2003-05-20,814.082
2003-05-21,810.474
2003-05-22,816.543
2003-05-23,816.369
2003-05-26,816.743
