Date,EZA
1992-12-31,100.000
1993-01-29,109.339
1993-02-26,114.240
1993-03-31,117.204
1993-04-30,121.256
1993-05-31,127.894
1993-06-30,128.263
1993-07-30,138.076
1993-08-31,125.848
1993-09-30,134.224
1993-10-29,139.742
1993-11-30,138.992
1993-12-31,168.545
1994-01-31,159.276
1994-02-28,153.580
1994-03-31,148.307
1994-04-29,176.144
1994-05-31,169.108
1994-06-30,169.146
1994-07-29,180.689
1994-08-31,192.423
1994-09-30,198.040
1994-10-31,213.832
1994-11-30,210.801
1994-12-30,217.256
1995-01-31,184.933
1995-02-28,198.762
1995-03-31,225.404
1995-04-28,230.599
1995-05-31,224.401
1995-06-30,224.693
1995-07-31,227.733
1995-08-31,229.085
1995-09-29,233.828
1995-10-31,238.770
1995-11-30,243.828
1995-12-29,254.871
1996-01-31,277.329
1996-02-29,255.112
1996-03-29,249.501
1996-04-30,238.814
1996-05-31,232.611
1996-06-28,234.051
1996-07-31,214.691
1996-08-30,216.727
1996-09-30,218.322
1996-10-31,213.742
1996-11-29,209.354
1996-12-31,203.652
1997-01-31,210.230
1997-02-28,229.337
1997-03-31,231.276
1997-04-30,231.376
1997-05-30,225.519
1997-06-30,234.273
1997-07-31,236.240
1997-08-29,225.860
1997-09-30,220.762
1997-10-31,196.359
1997-11-28,186.874
1997-12-31,182.095
1998-01-30,189.786
1998-02-27,198.939
1998-03-31,211.284
1998-04-30,229.837
1998-05-29,202.250
1998-06-30,154.398
1998-07-31,151.767
1998-08-31,104.956
1998-09-30,122.626
1998-10-30,146.411
1998-11-30,140.570
1998-12-31,127.752
1999-01-29,134.713
1999-02-26,133.897
1999-03-31,143.422
1999-04-30,160.446
1999-05-31,143.205
1999-06-30,164.487
1999-07-30,159.050
1999-08-31,156.918
1999-09-30,158.379
1999-10-29,164.981
1999-11-30,173.006
1999-12-31,196.005
2000-01-31,190.681
2000-02-29,185.402
2000-03-31,175.980
2000-04-28,159.556
2000-05-31,154.970
2000-06-30,164.336
2000-07-31,160.693
2000-08-31,177.299
2000-09-29,165.923
2000-10-31,152.160
2000-11-30,141.529
2000-12-29,157.581
2001-01-31,166.980
2001-02-28,167.416
2001-03-30,142.682
2001-04-30,159.126
2001-05-31,168.291
2001-06-29,161.758
2001-07-31,142.648
2001-08-31,148.626
2001-09-28,125.067
2001-10-31,127.395
2001-11-30,130.796
2001-12-31,125.632
2002-01-31,131.037
2002-02-28,137.868
2002-03-29,139.093
2002-04-30,150.951
2002-05-30,167.656
2002-05-31,166.091
2002-06-3,168.987
2002-06-4,171.419
2002-06-5,165.428
2002-06-6,165.321
2002-06-7,163.738
2002-06-10,161.250
2002-06-11,159.027
2002-06-12,159.865
2002-06-13,154.791
2002-06-14,151.625
2002-06-17,149.653
2002-06-18,154.263
2002-06-19,153.708
2002-06-20,153.599
2002-06-21,153.044
2002-06-24,151.783
2002-06-25,149.846
2002-06-26,146.157
2002-06-27,146.576
2002-06-28,149.195
2002-07-1,152.039
2002-07-2,150.304
2002-07-3,145.737
2002-07-4,146.391
2002-07-5,150.291
2002-07-8,150.347
2002-07-9,151.560
2002-07-10,148.978
2002-07-11,145.319
2002-07-12,146.705
2002-07-15,146.081
2002-07-16,145.261
2002-07-17,145.534
2002-07-18,149.810
2002-07-19,148.230
2002-07-22,141.975
2002-07-23,136.446
2002-07-24,130.424
2002-07-25,134.991
2002-07-26,131.035
2002-07-29,130.458
2002-07-30,132.859
2002-07-31,125.478
2002-08-1,125.345
2002-08-2,124.141
2002-08-5,118.667
2002-08-6,119.101
2002-08-7,122.741
2002-08-8,125.230
2002-08-9,124.727
2002-08-12,125.452
2002-08-13,124.110
2002-08-14,124.274
2002-08-15,124.934
2002-08-16,123.959
2002-08-19,123.878
2002-08-20,122.753
2002-08-21,123.692
2002-08-22,125.531
2002-08-23,126.878
2002-08-26,125.006
2002-08-27,130.305
2002-08-28,128.905
2002-08-29,127.183
2002-08-30,129.424
2002-09-2,129.203
2002-09-3,124.191
2002-09-4,124.014
2002-09-5,123.937
2002-09-6,126.572
2002-09-9,129.305
2002-09-10,130.678
2002-09-11,132.127
2002-09-12,131.627
2002-09-13,129.353
2002-09-16,128.769
2002-09-17,130.077
2002-09-18,127.768
2002-09-19,126.861
2002-09-20,127.639
2002-09-23,126.401
2002-09-24,126.150
2002-09-25,127.538
2002-09-26,129.808
2002-09-27,131.365
2002-09-30,128.563
2002-10-1,130.986
2002-10-2,131.044
2002-10-3,131.269
2002-10-4,132.104
2002-10-7,127.896
2002-10-8,126.707
2002-10-9,125.131
2002-10-10,125.030
2002-10-11,128.278
2002-10-14,128.257
2002-10-15,131.619
2002-10-16,129.900
2002-10-17,131.909
2002-10-18,131.200
2002-10-21,132.416
2002-10-22,135.040
2002-10-23,134.536
2002-10-24,136.203
2002-10-25,134.591
2002-10-28,135.071
2002-10-29,131.356
2002-10-30,131.518
2002-10-31,133.666
2002-11-1,137.693
2002-11-4,136.336
2002-11-5,137.227
2002-11-6,138.897
2002-11-7,142.092
2002-11-8,141.540
2002-11-11,141.203
2002-11-12,140.921
2002-11-13,140.428
2002-11-14,142.704
2002-11-15,143.217
2002-11-18,146.757
2002-11-19,145.098
2002-11-20,143.840
2002-11-21,145.257
2002-11-22,146.623
2002-11-25,146.169
2002-11-26,142.975
2002-11-27,143.804
2002-11-28,143.987
2002-11-29,146.520
2002-12-2,147.541
2002-12-3,146.970
2002-12-4,148.130
2002-12-5,147.273
2002-12-6,143.876
2002-12-9,145.604
2002-12-10,144.445
2002-12-11,144.119
2002-12-12,143.475
2002-12-13,147.347
2002-12-16,147.642
2002-12-17,150.074
2002-12-18,150.875
2002-12-19,150.261
2002-12-20,150.025
2002-12-23,151.970
2002-12-24,150.025
2002-12-25,150.025
2002-12-26,151.229
2002-12-27,153.698
2002-12-30,155.378
2002-12-31,154.856
2003-01-1,154.856
