Date,SCZ
1992-12-31,68.776
1993-01-29,69.945
1993-02-26,72.971
1993-03-31,80.536
1993-04-30,89.821
1993-05-31,95.667
1993-06-30,90.371
1993-07-30,94.154
1993-08-31,99.450
1993-09-30,97.111
1993-10-29,96.699
1993-11-30,86.933
1993-12-31,94.360
1994-01-31,104.814
1994-02-28,106.809
1994-03-31,104.402
1994-04-29,108.803
1994-05-31,107.428
1994-06-30,109.629
1994-07-29,109.835
1994-08-31,110.935
1994-09-30,106.946
1994-10-31,108.459
1994-11-30,100.894
1994-12-30,102.201
1995-01-31,98.281
1995-02-28,96.974
1995-03-31,98.968
1995-04-28,101.169
1995-05-31,98.831
1995-06-30,96.630
1995-07-31,102.820
1995-08-31,99.931
1995-09-29,99.656
1995-10-31,95.667
1995-11-30,96.836
1995-12-29,100.138
1996-01-31,103.164
1996-02-29,104.127
1996-03-29,106.190
1996-04-30,111.761
1996-05-31,109.491
1996-06-28,109.354
1996-07-31,103.301
1996-08-30,103.645
1996-09-30,104.127
1996-10-31,102.270
1996-11-29,103.576
1996-12-31,100.000
1997-01-31,97.982
1997-02-28,99.810
1997-03-31,97.291
1997-04-30,94.048
1997-05-30,101.173
1997-06-30,102.995
1997-07-31,99.371
1997-08-29,93.029
1997-09-30,91.066
1997-10-31,86.022
1997-11-28,80.024
1997-12-31,75.358
1998-01-30,80.069
1998-02-27,87.244
1998-03-31,89.173
1998-04-30,89.001
1998-05-29,89.291
1998-06-30,85.738
1998-07-31,84.567
1998-08-31,73.314
1998-09-30,69.943
1998-10-30,75.546
1998-11-30,79.155
1998-12-31,79.459
1999-01-29,78.459
1999-02-26,77.469
1999-03-31,81.664
1999-04-30,87.735
1999-05-31,84.554
1999-06-30,89.048
1999-07-30,91.771
1999-08-31,93.721
1999-09-30,93.428
1999-10-29,92.147
1999-11-30,92.647
1999-12-31,93.503
2000-01-31,93.615
2000-02-29,95.915
2000-03-31,98.187
2000-04-28,90.810
2000-05-31,90.624
2000-06-30,98.595
2000-07-31,92.392
2000-08-31,96.758
2000-09-29,91.196
2000-10-31,84.853
2000-11-30,84.597
2000-12-29,84.869
2001-01-31,87.366
2001-02-28,85.567
2001-03-30,78.719
2001-04-30,85.239
2001-05-31,84.741
2001-06-29,82.087
2001-07-31,78.631
2001-08-31,79.413
2001-09-28,68.561
2001-10-31,71.965
2001-11-30,74.677
2001-12-31,72.738
2002-01-31,70.962
2002-02-28,72.109
2002-03-29,76.489
2002-04-30,79.049
2002-05-31,82.357
2002-06-28,79.136
2002-07-2,78.611
2002-07-3,78.318
2002-07-4,78.263
2002-07-5,78.922
2002-07-8,79.732
2002-07-9,80.317
2002-07-10,79.377
2002-07-11,78.200
2002-07-12,78.376
2002-07-15,77.966
2002-07-16,77.045
2002-07-17,76.807
2002-07-18,77.681
2002-07-19,77.030
2002-07-22,75.408
2002-07-23,74.014
2002-07-24,72.631
2002-07-25,73.431
2002-07-26,71.823
2002-07-29,72.172
2002-07-30,73.251
2002-07-31,72.968
2002-08-1,72.411
2002-08-2,71.906
2002-08-5,70.872
2002-08-6,68.917
2002-08-7,70.009
2002-08-8,70.174
2002-08-9,71.119
2002-08-12,70.763
2002-08-13,70.711
2002-08-14,71.425
2002-08-15,71.757
2002-08-16,72.111
2002-08-19,71.655
2002-08-20,71.591
2002-08-21,72.002
2002-08-22,72.209
2002-08-23,72.290
2002-08-26,72.716
2002-08-27,73.218
2002-08-28,72.566
2002-08-29,71.845
2002-08-30,71.962
2002-09-2,71.687
2002-09-3,71.056
2002-09-4,69.925
2002-09-5,69.729
2002-09-6,69.496
2002-09-9,69.554
2002-09-10,69.386
2002-09-11,69.587
2002-09-12,69.653
2002-09-13,68.895
2002-09-16,68.136
2002-09-17,68.618
2002-09-18,68.138
2002-09-19,68.247
2002-09-20,67.392
2002-09-23,66.510
2002-09-24,65.471
2002-09-25,65.373
2002-09-26,66.059
2002-09-27,66.529
2002-09-30,66.150
2002-10-1,65.236
2002-10-2,64.994
2002-10-3,64.521
2002-10-4,63.924
2002-10-7,62.263
2002-10-8,61.946
2002-10-9,61.469
2002-10-10,61.107
2002-10-11,62.127
2002-10-14,61.935
2002-10-15,63.508
2002-10-16,63.684
2002-10-17,64.184
2002-10-18,64.295
2002-10-21,64.660
2002-10-22,64.221
2002-10-23,64.200
2002-10-24,63.999
2002-10-25,64.382
2002-10-28,64.914
2002-10-29,64.566
2002-10-30,64.846
2002-10-31,65.257
2002-11-1,65.465
2002-11-4,66.139
2002-11-5,66.807
2002-11-6,66.735
2002-11-7,67.081
2002-11-8,66.957
2002-11-11,66.058
2002-11-12,66.122
2002-11-13,65.545
2002-11-14,64.991
2002-11-15,65.326
2002-11-18,65.067
2002-11-19,64.545
2002-11-20,64.378
2002-11-21,65.405
2002-11-22,65.881
2002-11-25,66.094
2002-11-26,65.701
2002-11-27,65.922
2002-11-28,66.996
2002-11-29,67.088
2002-12-2,66.892
2002-12-3,66.434
2002-12-4,65.869
2002-12-5,65.496
2002-12-6,65.381
2002-12-9,64.963
2002-12-10,64.906
2002-12-11,64.955
2002-12-12,64.781
2002-12-13,64.795
2002-12-16,64.424
2002-12-17,64.690
2002-12-18,63.899
2002-12-19,64.093
2002-12-20,64.272
2002-12-23,64.168
2002-12-24,64.396
2002-12-25,64.460
2002-12-26,64.965
2002-12-27,65.141
2002-12-30,65.541
2002-12-31,65.768
2003-01-1,65.768
2003-01-2,65.855
2003-01-3,66.412
2003-01-6,67.306
2003-01-7,66.686
2003-01-8,65.889
2003-01-9,66.235
2003-01-10,66.613
2003-01-13,66.938
2003-01-14,67.599
2003-01-15,67.571
2003-01-16,67.615
2003-01-17,67.684
2003-01-20,67.465
2003-01-21,67.518
2003-01-22,67.027
2003-01-23,67.575
2003-01-24,67.666
2003-01-27,66.254
2003-01-28,65.706
2003-01-29,65.122
2003-01-30,64.973
2003-01-31,64.801
2003-02-3,65.359
2003-02-4,65.743
2003-02-5,65.760
2003-02-6,65.513
2003-02-7,65.219
2003-02-10,64.805
2003-02-11,64.705
2003-02-12,64.801
2003-02-13,64.875
2003-02-14,64.972
2003-02-17,65.444
2003-02-18,65.606
2003-02-19,65.683
2003-02-20,65.661
2003-02-21,65.186
2003-02-24,65.096
2003-02-25,63.921
2003-02-26,63.981
2003-02-27,63.679
2003-02-28,64.216
2003-03-3,64.984
2003-03-4,64.919
2003-03-5,64.919
2003-03-6,64.563
2003-03-7,63.828
2003-03-10,62.926
2003-03-11,62.282
2003-03-12,61.807
2003-03-13,61.698
2003-03-14,61.963
2003-03-17,61.586
2003-03-18,62.209
2003-03-19,62.348
2003-03-20,62.866
2003-03-21,62.994
2003-03-24,63.542
2003-03-25,63.371
2003-03-26,63.692
2003-03-27,63.706
2003-03-28,63.636
2003-03-31,63.417
2003-04-1,63.471
2003-04-2,63.753
2003-04-3,63.683
2003-04-4,63.967
2003-04-7,64.975
2003-04-8,64.791
2003-04-9,64.854
2003-04-10,65.452
2003-04-11,65.300
2003-04-14,65.307
2003-04-15,65.950
2003-04-16,66.467
2003-04-17,66.794
2003-04-18,66.894
2003-04-21,66.748
2003-04-22,67.147
2003-04-23,67.649
2003-04-24,67.775
2003-04-25,67.289
2003-04-28,67.405
2003-04-29,67.817
2003-04-30,69.081
2003-05-1,69.815
2003-05-2,69.868
2003-05-5,70.474
2003-05-6,71.439
2003-05-7,71.955
2003-05-8,71.867
2003-05-9,72.181
2003-05-12,72.731
2003-05-13,72.853
2003-05-14,73.228
2003-05-15,73.256
2003-05-16,73.990
2003-05-19,73.395
2003-05-20,73.407
2003-05-21,73.060
2003-05-22,73.523
2003-05-23,74.156
2003-05-26,74.478
2003-05-27,74.235
2003-05-28,74.161
2003-05-29,74.887
2003-05-30,74.766
2003-06-2,75.702
2003-06-3,75.507
2003-06-4,75.892
2003-06-5,77.371
2003-06-6,77.779
2003-06-9,77.896
2003-06-10,77.668
2003-06-11,78.499
2003-06-12,78.861
2003-06-13,79.115
2003-06-16,79.392
2003-06-17,79.963
2003-06-18,79.613
2003-06-19,79.239
2003-06-20,79.140
2003-06-23,78.927
2003-06-24,77.897
2003-06-25,78.669
2003-06-26,77.665
2003-06-27,78.372
2003-06-30,78.628
2003-07-1,79.283
2003-07-2,80.212
2003-07-3,80.231
2003-07-4,80.165
2003-07-7,80.759
2003-07-8,80.744
2003-07-9,80.807
2003-07-10,80.781
2003-07-11,80.095
2003-07-14,81.047
2003-07-15,80.794
2003-07-16,80.347
2003-07-17,79.093
2003-07-18,79.267
2003-07-21,79.705
2003-07-22,79.512
2003-07-23,80.556
2003-07-24,81.250
2003-07-25,81.441
2003-07-28,81.995
2003-07-29,82.038
2003-07-30,81.337
2003-07-31,80.972
2003-08-1,81.682
2003-08-4,81.640
2003-08-5,81.388
2003-08-6,80.715
2003-08-7,81.039
2003-08-8,81.100
2003-08-11,81.569
2003-08-12,81.976
2003-08-13,82.753
2003-08-14,83.227
2003-08-15,83.465
2003-08-18,84.012
2003-08-19,84.524
2003-08-20,85.106
2003-08-21,85.379
2003-08-22,85.218
2003-08-25,85.304
2003-08-26,84.944
2003-08-27,84.991
2003-08-28,85.064
2003-08-29,86.258
2003-09-1,87.541
2003-09-2,87.558
2003-09-3,88.347
2003-09-4,88.059
2003-09-5,88.434
2003-09-8,88.974
2003-09-9,89.616
2003-09-10,88.941
2003-09-11,88.443
2003-09-12,89.343
2003-09-15,89.528
2003-09-16,90.000
2003-09-17,90.729
2003-09-18,91.375
2003-09-19,92.468
2003-09-22,92.298
2003-09-23,92.246
2003-09-24,92.163
2003-09-25,91.186
2003-09-26,90.617
2003-09-29,90.830
2003-09-30,91.198
2003-10-1,92.175
2003-10-2,93.526
2003-10-3,94.544
2003-10-6,95.026
2003-10-7,95.636
2003-10-8,95.758
2003-10-9,96.362
2003-10-10,97.297
2003-10-13,97.237
2003-10-14,97.589
2003-10-15,98.025
2003-10-16,98.816
2003-10-17,98.898
2003-10-20,99.266
2003-10-21,99.332
2003-10-22,98.744
2003-10-23,95.923
2003-10-24,96.712
2003-10-27,97.531
2003-10-28,98.123
2003-10-29,99.116
2003-10-30,99.317
2003-10-31,98.393
2003-11-3,97.819
2003-11-4,98.830
2003-11-5,98.352
2003-11-6,97.539
2003-11-7,98.452
2003-11-10,98.523
2003-11-11,96.623
2003-11-12,97.027
2003-11-13,98.003
2003-11-14,97.813
2003-11-17,94.910
2003-11-18,95.621
2003-11-19,94.771
2003-11-20,95.162
2003-11-21,95.526
2003-11-24,95.279
2003-11-25,96.195
2003-11-26,97.672
2003-11-27,97.854
2003-11-28,97.930
2003-12-1,98.875
2003-12-2,99.714
2003-12-3,100.158
2003-12-4,100.111
2003-12-5,100.280
2003-12-8,99.764
2003-12-9,99.788
2003-12-10,98.789
2003-12-11,98.455
2003-12-12,99.534
2003-12-15,100.584
2003-12-16,99.890
2003-12-17,99.747
2003-12-18,99.716
2003-12-19,99.713
2003-12-22,100.086
2003-12-23,100.401
2003-12-24,100.902
2003-12-25,101.016
2003-12-26,101.303
2003-12-29,102.155
2003-12-30,103.317
2003-12-31,103.754
2004-01-1,103.754
2004-01-2,104.362
2004-01-5,106.154
2004-01-6,106.753
2004-01-7,106.621
2004-01-8,107.765
2004-01-9,108.831
2004-01-12,108.655
2004-01-13,108.982
2004-01-14,109.361
2004-01-15,108.722
2004-01-16,108.426
2004-01-19,108.803
2004-01-20,110.083
2004-01-21,110.685
2004-01-22,111.419
2004-01-23,111.371
2004-01-26,110.573
2004-01-27,111.018
2004-01-28,110.404
2004-01-29,108.159
2004-01-30,108.989
2004-02-2,109.525
2004-02-3,109.763
2004-02-4,108.580
2004-02-5,109.097
2004-02-6,110.454
2004-02-9,111.112
2004-02-10,111.285
2004-02-11,111.422
2004-02-12,112.849
2004-02-13,112.928
2004-02-16,113.463
2004-02-17,114.416
2004-02-18,114.522
2004-02-19,113.661
2004-02-20,112.273
2004-02-23,112.582
2004-02-24,112.190
