Date,SI1
2014-09-09,18.844
2014-09-08,18.887
2014-09-05,19.082
2014-09-04,19.064
2014-09-03,19.108
2014-09-02,19.071
2014-08-29,19.398
2014-08-28,19.534
2014-08-27,19.395
2014-08-26,19.37
2014-08-25,19.338
2014-08-22,19.361
2014-08-21,19.39
2014-08-20,19.472
2014-08-19,19.387
2014-08-18,19.6
2014-08-15,19.49
2014-08-14,19.871
2014-08-13,19.81
2014-08-12,19.87
2014-08-11,20.06
2014-08-08,19.902
2014-08-07,19.951
2014-08-06,19.985
2014-08-05,19.794
2014-08-04,20.194
2014-08-01,20.332
2014-07-31,20.373
2014-07-30,20.558
2014-07-29,20.546
2014-07-28,20.526
2014-07-25,20.588
2014-07-24,20.376
2014-07-23,20.952
2014-07-22,20.965
2014-07-21,20.966
2014-07-18,20.838
2014-07-17,21.086
2014-07-16,20.727
2014-07-15,20.842
2014-07-14,20.864
2014-07-11,21.411
2014-07-10,21.459
2014-07-09,21.022
2014-07-08,20.967
2014-07-07,20.966
2014-07-03,21.089
2014-07-02,21.254
2014-07-01,21.067
2014-06-30,21.007
2014-06-27,21.077
2014-06-26,21.103
2014-06-25,21.111
2014-06-24,21.038
2014-06-23,20.909
2014-06-20,20.942
2014-06-19,20.637
2014-06-18,19.767
2014-06-17,19.721
2014-06-16,19.702
2014-06-13,19.637
2014-06-12,19.515
2014-06-11,19.154
2014-06-10,19.147
2014-06-09,19.045
2014-06-06,18.963
2014-06-05,19.055
2014-06-04,18.766
2014-06-03,18.732
2014-06-02,18.709
2014-05-30,18.653
2014-05-29,18.983
2014-05-28,19.035
2014-05-27,19.039
2014-05-23,19.388
2014-05-22,19.49
2014-05-21,19.307
2014-05-20,19.367
2014-05-19,19.322
2014-05-16,19.292
2014-05-15,19.447
2014-05-14,19.735
2014-05-13,19.504
2014-05-12,19.5
2014-05-09,19.077
2014-05-08,19.094
2014-05-07,19.298
2014-05-06,19.598
2014-05-05,19.52
2014-05-02,19.492
2014-05-01,18.989
2014-04-30,19.119
2014-04-29,19.488
2014-04-28,19.585
2014-04-25,19.685
2014-04-24,19.682
2014-04-23,19.43
2014-04-22,19.351
2014-04-21,19.341
2014-04-17,19.586
2014-04-16,19.623
2014-04-15,19.478
2014-04-14,19.999
2014-04-11,19.933
